,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@hollymcgowan29,holly mcgowan,May 31,"I said ""wicked"" one time and half the people in the pool already picked up on it and where I'm from  #bostonpride #bostonstrong",['https://pbs.twimg.com/profile_images/992051160575041536/zsKGI71b_x96.jpg'],['No Video']
1,@MollyMcGoober,Molly McGhehey,May 31,Fenway #redsox #bostonstrong http://instagram.com/p/oriXTMqwIF/,['https://pbs.twimg.com/profile_images/1373352753460826118/_YBJMSeG_x96.jpg'],['No Video']
2,@newporthealth_,Newport Healthcare,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1599919571326025728/O1yy1Ltv_x96.png.jpg', 'https://pbs.twimg.com/media/F9z0C6Ob0AAHW1L.jpg', 'https://pbs.twimg.com/media/F9z0EIGbEAAW_zP.jpg', 'https://pbs.twimg.com/media/F9z0FaPagAABOUj.jpg', 'https://pbs.twimg.com/media/F9z0GhmaEAEdUX6.jpg', 'https://pbs.twimg.com/media/F9z0Hv5bkAAeNh5.jpg']",['No Video']
3,@Dana_Browne,Dana Marie,May 31,Saturday Night Baseball! Go Sox! #bostonstrong,['https://pbs.twimg.com/profile_images/1213850158842036224/NrVyFuZZ_x96.jpg'],['No Video']
4,@PCFnews,Prostate Cancer Foundation,May 31,Home Run Challenge double header! We're with the @RedSox & loving the incredible support from Boston #bostonstrong,"['https://pbs.twimg.com/profile_images/940359669305917441/gQFP3RZp_x96.jpg', 'https://pbs.twimg.com/media/BpAHEt1IUAA_-y3.jpg']",['No Video']
5,@brooklynn1009,Brooke Dempsey,May 31,Let's go Red Sox!!!!! #BostonStrong http://instagram.com/p/orhIc0k9mC/,['https://pbs.twimg.com/profile_images/473248967195901952/KHJ1vTn7_x96.jpeg'],['No Video']
6,@TVOTP1,No Name,May 31,The power of the people is much stronger! #bostonstrong #speakout #anonymous #standup #wakeup... http://fb.me/6GiDGs0Rv,['https://pbs.twimg.com/profile_images/666784714435334144/mtxJOR1c_x96.jpg'],['No Video']
7,@dreamsingles_,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1337518113873661955/mp010gqA_x96.jpg', 'https://pbs.twimg.com/media/F_FsAAyWwAAzMah.jpg', 'https://pbs.twimg.com/media/F_FsDUGW4AAcazj.jpg']",['No Video']
8,@Morticia_Vibes,No Name,May 31,"@DonnieWahlberg 
Dirty Water breeds strong hearts! 
#BostonStrong #Dorchester","['https://pbs.twimg.com/profile_images/1726469511728021504/nzrnFf___x96.jpg', 'https://pbs.twimg.com/media/BpAAQr1CcAANuoF.jpg']",['No Video']
9,@YawkeyWayReport,Yawkey Way Report,May 31,Who think @davidortiz should show David Price just what #BostonStrong is all about? #ThisIsOurFnCity #punk,['https://pbs.twimg.com/profile_images/1007023046731788288/IMcw6ESi_x96.jpg'],['No Video']
10,@AndrewFbowman4,Wes Mantooth,May 31,Papi is the greatest hitter in playoff history . #RealShit #KeepHatingYanks #YANKTHIS #GOAT #BOSTONSTRONG,['https://pbs.twimg.com/profile_images/1536421939/image_x96.jpg'],['No Video']
11,@CFCcorrera,Josh Correra,May 31,Someone's finally showing their true colors #BostonStrong @Brianna_Niccole,"['https://pbs.twimg.com/profile_images/1647363953410940931/PPOkm7-Y_x96.jpg', 'https://pbs.twimg.com/media/Bo_8yf5CEAA5Wpe.jpg']",['No Video']
12,@MichaelJLanzo,Michael J Lanzo,May 31,My little island part 2 #island #LaislaBonita #mostintereringman #blueberries #BostonStrong https://vine.co/v/MpWuKaFthH9,['https://pbs.twimg.com/profile_images/826429737891463169/DjkaDgho_x96.jpg'],['No Video']
13,@pockypastor,Michael Ryan,May 31,“@Mass_HHS @SMCHealthPR @polanowj  Motion has given! Two weeks is to long! Free Justina Pelletier now! #bostonstrong @Mass_DCF #FreeJustina,['https://pbs.twimg.com/profile_images/90071651/MikeMelissa_x96.JPG.jpg'],['No Video']
14,@MollyMcGoober,Molly McGhehey,May 31,Fenway Park! #redsox #bostonstrong http://instagram.com/p/oraxBuKwLM/,['https://pbs.twimg.com/profile_images/1373352753460826118/_YBJMSeG_x96.jpg'],['No Video']
15,@pockypastor,Michael Ryan,May 31,Motion has given!Two weeks is to long! Free Justina Pelletier now! #bostonstrong @Mass_DCF @Mass_HHS #freejustina,['https://pbs.twimg.com/profile_images/90071651/MikeMelissa_x96.JPG.jpg'],['No Video']
16,@iblogNYgirl,No Name,May 31,From #subway to #Hubway but enjoying #Boston on foot. #roadtrip #weekend #travel #bostonstrong… http://instagram.com/p/orYXZLQhL1/,['https://pbs.twimg.com/profile_images/647487872610795520/74TbOML__x96.jpg'],['No Video']
17,@WPLLFanJoshua,Joshua L Brown,May 31,Time to get my Sox on! #BostonStrong #RedSox,['https://pbs.twimg.com/profile_images/1117211988231430147/KI1p72pK_x96.jpg'],['No Video']
18,@kelsey_quintal,Kelsey Quintal,May 31,subies #bostonstrong,"['https://pbs.twimg.com/profile_images/1703592865144709120/_HFtaD_K_x96.jpg', 'https://pbs.twimg.com/media/Bo_tqsgIMAAajYR.jpg']",['No Video']
19,@OnyxBoox,ONYX BOOX,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1519004251166552065/aKPcSfUl_x96.jpg', 'https://pbs.twimg.com/media/F-PF46SboAAFF1j.jpg', 'https://pbs.twimg.com/media/F-PA8STaoAARLc_.jpg', 'https://pbs.twimg.com/media/F-PMiZCbEAAQD4Z.jpg', 'https://pbs.twimg.com/media/F-PMf-yaoAARYNE.jpg', 'https://pbs.twimg.com/media/F-PKDlFakAAevs4.jpg']",['No Video']
20,@BrawlerGaming84,Lipp Mahoney,May 31,"@RedSox I wish I was there, one day I will make the trip to see the #GreenMonster before the new stadium! #GoRedSoxGo #BostonStrong",['https://pbs.twimg.com/profile_images/1616170133931573253/eQM1DssX_x96.jpg'],['No Video']
21,@PhillyIdol1017,Philip L,May 31,"@Michael4Wine That's a BaseBrawl, furthest thing from War... He is my Guy, In Papi We Trust!! #BOSTONSTRONG #bigpapi #DavidOrtiz",['https://pbs.twimg.com/profile_images/483584511863570432/isNECoSe_x96.jpeg'],['No Video']
