,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@Bobby_Tay10,Bob T,Oct 29,Sox keeping my head above water #thankgodforsports #bostonstrong http://instagram.com/p/gEhD2ZCfzl/,['https://pbs.twimg.com/profile_images/837428552190545922/2zv9O9wz_x96.jpg'],['No Video']
1,@elwoodrobinson,Elwood L,Oct 29,#BostonStrong #RedSox Great time to be in Boston! Looking to close it out tomorrow night! #WorldSeries #MLB,['https://pbs.twimg.com/profile_images/1663231018508206104/Bn4Aw2uy_x96.jpg'],['No Video']
2,@TheRealWilkyWay,No Name,Oct 29,Dear #RedSoxNation I will be joining you all in #Boston tomorrow for game 6. #GomesArmy #RedSox #BostonStrong,['https://pbs.twimg.com/profile_images/552547395469590528/5-ZWeO3G_x96.jpeg'],['No Video']
3,@Adriatic_6,No Name,Oct 29,@moonman_x @wendyfiore And here we go!!! #GoLakers #GoBulls #BeatTheHeat I'm only cheering #BostonStrong in MLB...for now.,['https://pbs.twimg.com/profile_images/999343575996317696/nAtcpkJQ_x96.jpg'],['No Video']
4,@LaneNutt,Lane Nutt,Oct 29,"But the NBA can suck it, MLB is where it's at #BostonStrong #WinToday #FearTheBeards",['https://pbs.twimg.com/profile_images/1444479856138412035/N6mpMkUt_x96.jpg'],['No Video']
5,@xgigi33,No Name,Oct 29,@brienza_emily #BostonStrong gotta rep my city ,['https://pbs.twimg.com/profile_images/1439070626568982529/Q4h5fFIp_x96.jpg'],['No Video']
6,@ActionNetworkHQ,Action Network,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1384641200603414530/Nq9iTLIE_x96.jpg', 'https://pbs.twimg.com/media/GAraKCMXQAAzBm-.jpg']",['No Video']
7,@tobes24@NicholasW24,No Name,Oct 29,So hyped for game 6 tomorrow #BostonStrong #WorldSeries,['https://pbs.twimg.com/profile_images/1321836569339273220/cxBaUJ38_x96.jpg'],['No Video']
8,@AbbyPomeroy1,No Name,Oct 29,"“@CelticFanChat: LeBron Felt Hatred in Boston: ""It's Hard to Silence the Garden"" http://fb.me/2DX9vwb5T” yeah we are! #BostonStrong ",['https://pbs.twimg.com/profile_images/1723896030704357376/BQHAoJuk_x96.jpg'],['No Video']
9,@SeanKelly145,Sean Kelly,Oct 29,"Pre-game, mid-game, post-game #Game6 #BostonStrong #GetBeard #JonnyGomesPlaysWithMoreHeartThanACardiologist","['https://pbs.twimg.com/profile_images/1630649695469969427/De8e1qX9_x96.jpg', 'https://pbs.twimg.com/media/BXyEDabIEAEOrOC.jpg']",['No Video']
10,@JDCyuh,Jeremy David Cannon,Oct 29,David Ortiz to the #RedSox this #WorldSeries is about the same as what Ray Lewis was to the #Ravens in the #SuperBowl. @redsox #BOSTONSTRONG,['https://pbs.twimg.com/profile_images/1131711939367841793/2OavCZDK_x96.jpg'],['No Video']
11,@akaJrod,J to the Rod,Oct 29,@JakesBowman @dmgunter Banking on David Freese being the hero again? You can have him. Game 6 is ours. #endofwacha #BostonStrong,['https://pbs.twimg.com/profile_images/1465115928354607116/sFSQHtAh_x96.jpg'],['No Video']
12,@Bobby_Tay10,Bob T,Oct 29,Sox keeping my head above water #thankgodforsports #bostonstrong http://instagram.com/p/gEhD2ZCfzl/,['https://pbs.twimg.com/profile_images/837428552190545922/2zv9O9wz_x96.jpg'],['No Video']
13,@elwoodrobinson,Elwood L,Oct 29,#BostonStrong #RedSox Great time to be in Boston! Looking to close it out tomorrow night! #WorldSeries #MLB,['https://pbs.twimg.com/profile_images/1663231018508206104/Bn4Aw2uy_x96.jpg'],['No Video']
14,@TheRealWilkyWay,No Name,Oct 29,Dear #RedSoxNation I will be joining you all in #Boston tomorrow for game 6. #GomesArmy #RedSox #BostonStrong,['https://pbs.twimg.com/profile_images/552547395469590528/5-ZWeO3G_x96.jpeg'],['No Video']
15,@Adriatic_6,No Name,Oct 29,@moonman_x @wendyfiore And here we go!!! #GoLakers #GoBulls #BeatTheHeat I'm only cheering #BostonStrong in MLB...for now.,['https://pbs.twimg.com/profile_images/999343575996317696/nAtcpkJQ_x96.jpg'],['No Video']
16,@LaneNutt,Lane Nutt,Oct 29,"But the NBA can suck it, MLB is where it's at #BostonStrong #WinToday #FearTheBeards",['https://pbs.twimg.com/profile_images/1444479856138412035/N6mpMkUt_x96.jpg'],['No Video']
17,@xgigi33,No Name,Oct 29,@brienza_emily #BostonStrong gotta rep my city ,['https://pbs.twimg.com/profile_images/1439070626568982529/Q4h5fFIp_x96.jpg'],['No Video']
18,@ActionNetworkHQ,Action Network,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1384641200603414530/Nq9iTLIE_x96.jpg', 'https://pbs.twimg.com/media/GAraKCMXQAAzBm-.jpg']",['No Video']
19,@tobes24@NicholasW24,No Name,Oct 29,So hyped for game 6 tomorrow #BostonStrong #WorldSeries,['https://pbs.twimg.com/profile_images/1321836569339273220/cxBaUJ38_x96.jpg'],['No Video']
20,@AbbyPomeroy1,No Name,Oct 29,"“@CelticFanChat: LeBron Felt Hatred in Boston: ""It's Hard to Silence the Garden"" http://fb.me/2DX9vwb5T” yeah we are! #BostonStrong ",['https://pbs.twimg.com/profile_images/1723896030704357376/BQHAoJuk_x96.jpg'],['No Video']
21,@SeanKelly145,Sean Kelly,Oct 29,"Pre-game, mid-game, post-game #Game6 #BostonStrong #GetBeard #JonnyGomesPlaysWithMoreHeartThanACardiologist","['https://pbs.twimg.com/profile_images/1630649695469969427/De8e1qX9_x96.jpg', 'https://pbs.twimg.com/media/BXyEDabIEAEOrOC.jpg']",['No Video']
22,@JDCyuh,Jeremy David Cannon,Oct 29,David Ortiz to the #RedSox this #WorldSeries is about the same as what Ray Lewis was to the #Ravens in the #SuperBowl. @redsox #BOSTONSTRONG,['https://pbs.twimg.com/profile_images/1131711939367841793/2OavCZDK_x96.jpg'],['No Video']
23,@akaJrod,J to the Rod,Oct 29,@JakesBowman @dmgunter Banking on David Freese being the hero again? You can have him. Game 6 is ours. #endofwacha #BostonStrong,['https://pbs.twimg.com/profile_images/1465115928354607116/sFSQHtAh_x96.jpg'],['No Video']
24,@JDCyuh,Jeremy David Cannon,Oct 29,David Ortiz to the #RedSox this #WorldSeries is about the same as what Ray Lewis was to the #Ravens in the #SuperBowl. @redsox #BOSTONSTRONG,['No Images'],['No Video']
25,@akaJrod,J to the Rod,Oct 29,@JakesBowman @dmgunter Banking on David Freese being the hero again? You can have him. Game 6 is ours. #endofwacha #BostonStrong,['No Images'],['No Video']
