,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@drnasrine,No Name,Apr 27,"@sethmoulton watching you here all the way in #mydubai and learning so much from you, very grateful #BostonStrong",['https://pbs.twimg.com/profile_images/1348954603425918978/Xs9mlw_H_normal.jpg'],['No Video']
1,@therealLwave,L wave,Apr 27,"https://youtu.be/jpolAY7-jAc
This one strickly for boston 
#bostonpride
#bostonstrong
#throwing 3s",['https://pbs.twimg.com/profile_images/722518169953374208/M2gN-ZqO_normal.jpg'],['No Video']
2,@NurpOfficial,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1664655273242263552/hlFSFyyR_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1729919199399510016/img/n3bA24QduJ7-x74R.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1729919199399510016/img/n3bA24QduJ7-x74R.jpg']
3,@Lisgarcia1975,Lisandra Garcia,Apr 27,Late post! #bostonmarathon2017 #finishline #BeBoston #Bostonstrong  https://instagram.com/p/BTZbSw6gJGk/,['https://pbs.twimg.com/profile_images/725125165839843329/ExXzd6wI_normal.jpg'],['No Video']
4,@CelticsFanBlog4,No Name,Apr 27,Don't ever doubt the greatest sports city in the world. Or Isaiah Thomas. #CelticsStrong #BostonStrong,['https://pbs.twimg.com/profile_images/831745972472524801/AH8BPqYF_normal.jpg'],['No Video']
5,@AmyMC1978,No Name,Apr 27,#BostonStrong baby!! ,['https://pbs.twimg.com/profile_images/1726030804298743808/WiI4FMGG_normal.jpg'],['No Video']
6,@ScottElderfiel1,No Name,Apr 27,LOL. I've actually got my #BostonStrong t-shirt on tonight.,['https://pbs.twimg.com/profile_images/1667814523666067459/0KXfQI0M_normal.jpg'],['No Video']
7,@trizza81,tracie rizza,Apr 27,@truTVjokers  I am wondering when you are gonna be coming to boston again? #bostonstrong,['https://pbs.twimg.com/profile_images/858026290061991937/ni-lb3uW_normal.jpg'],['No Video']
8,@bdallas456,bud dwyer,Apr 27,@NickDiPaolo so happy for you on xm103.   Finally.   I saw u on my 21st at Nick's in Boston.   So happy for you #BostonStrong  yuck,['https://pbs.twimg.com/profile_images/826740404661915648/LXx8EK--_normal.jpg'],['No Video']
9,@jephneville22,Jephrey Neville,Apr 27,"@SydneyChaffee congrats... my parents  are from Holyoke, Ma My Dad from Taunton and my Mom Fall River.....
#BostonStrong",['https://pbs.twimg.com/profile_images/1359031042426851328/ezNJzh0V_normal.jpg'],['No Video']
10,@SenileRain,No Name,Apr 27,Why don't they make the whole plane out of that Vietnamese doctor #amiright #comeon #bostonstrong #scicomm,['https://pbs.twimg.com/profile_images/1315486896/AC_Slater_normal.jpg'],['No Video']
11,@ActionNetworkHQ,Action Network,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1384641200603414530/Nq9iTLIE_normal.jpg', 'https://pbs.twimg.com/media/F_fVluKWIAEnf6f.jpg']",['No Video']
12,@vbenny111,V Benny,Apr 27,#Celtics WIN! & it's my Birthday! Happy Birthday 2 Me! #BostonStrong #CelticsPride,['https://pbs.twimg.com/profile_images/1529657561/Violets_for_Twitter_normal.jpg'],['No Video']
13,@PDanHealey9,Daniel Healey,Apr 27,#BostonStrong Thx @Isaiah_Thomas for your selfless leadership on the court! Reppin & inspiring #courage #NBAPlayoffs2017 #Celtics,"['https://pbs.twimg.com/profile_images/997210621799100416/GoBIdzn5_normal.jpg', 'https://pbs.twimg.com/profile_images/1604943357750419465/wk5BAmKG_mini.png.jpg', 'https://pbs.twimg.com/profile_images/1170690523201527808/FriNRiir_bigger.png.jpg', 'https://pbs.twimg.com/media/C-Y1eZoXoAIVzkj.jpg']",['No Video']
14,@wrybread_,No Name,Apr 26,ONE. MORE. WIN. #BostonStrong ,['https://pbs.twimg.com/profile_images/1630046395301523457/iZHWQzkH_normal.jpg'],['No Video']
15,@MilesHalpine,Miles Halpine,Apr 26,Don't count the Cs out. #ItsNotLuck #BostonStrong,['https://pbs.twimg.com/profile_images/1714453702440824832/x5OzeKg7_normal.jpg'],['No Video']
16,@adamleggos,No Name,Apr 26,"Fuk yes baby!!!!!! 3-2 series, the takeover is real!!!! #BostonStrong",['https://pbs.twimg.com/profile_images/1655746283448180736/VmGDxgnG_normal.jpg'],['No Video']
17,@MyLootLocker,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1582674997322993664/B-VgeKjm_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1714935824301924352/img/hD5MRLRwnfnXDCKe.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1714935824301924352/img/hD5MRLRwnfnXDCKe.jpg']
18,@NightmareDMoney,No Name,Apr 26,Fuck yes 0-2 to 3-2 #BostonStrong #CsUp  love my dogs keep fighting we the number 1 seed for a reason,['https://pbs.twimg.com/profile_images/1600706452838039552/iJnYoWvn_normal.jpg'],['No Video']
19,@SadNewYorkNY,Sad New York,Apr 26,Celtics have won three straight games and now lead Chicago 3-2. #BostonStrong,"['https://pbs.twimg.com/profile_images/1719546029966839808/DJ_ZPHzY_normal.jpg', 'https://pbs.twimg.com/tweet_video_thumb/C-Y08snVYAQUzSP.jpg']",['https://pbs.twimg.com/tweet_video_thumb/C-Y08snVYAQUzSP.jpg']
20,@NikMoisan,Perry the Platypus,Apr 26,Let's get it Celtics! One more to go! #BostonStrong #BleedGreen ,['https://pbs.twimg.com/profile_images/838292051083034624/96sod4jn_normal.jpg'],['No Video']
21,@TraversTan,Travers Tan,Apr 26,.@celtics roar back to take 3-2 series lead! #LetsGoCeltics #BostonStrong,['https://pbs.twimg.com/profile_images/481068306116259841/FVF3Q9_U_normal.jpeg'],['No Video']
22,@FrankBrooksJr1,Frank Brooks Jr,Apr 26,Looks like we r going up 3-2 good job C's #BostonStrong #Boston #Celtics,['https://pbs.twimg.com/profile_images/917748882792214528/IEpbbAeP_normal.jpg'],['No Video']
23,@Lesly4x4,No Name,Apr 26,Beat the #Bulls #Celtics #BostonStrong #nbaplayoffs,['https://pbs.twimg.com/profile_images/2098829910/2012-04-07_16.10.02_normal.jpg'],['No Video']
24,@RealEHolley59,No Name,Apr 26,Watching Boston right now #BostonStrong,['https://pbs.twimg.com/profile_images/1289216008008261640/SuWIcXfJ_normal.jpg'],['No Video']
25,@dantes0814,Dante Scott Suguitan,Apr 26,@DonnieWahlberg Be happy @celtics are winning big. #BostonStrong,['https://pbs.twimg.com/profile_images/1163657087278206977/zrXtOflW_normal.jpg'],['No Video']
26,@PatKinnane,Patrick Kinnane,Apr 26,Just saw #PatriotsDay. Great film. #BostonStrong,['https://pbs.twimg.com/profile_images/1501364286224011269/FuLc_vBv_normal.jpg'],['No Video']
27,@markeezy07,Marcus Cortez,Apr 26,Let's go Boston!! #BostonStrong #BostonCeltics,['https://pbs.twimg.com/profile_images/1387703146516942848/3WUtLeTH_normal.jpg'],['No Video']
28,@FrankBrooksJr1,Frank Brooks Jr,Apr 26,Just got home watching he rest of the C's #Celtics #celticswin #BostonStrong,['https://pbs.twimg.com/profile_images/917748882792214528/IEpbbAeP_normal.jpg'],['No Video']
29,@DBoban15,David Boban,Apr 26,Tuukka and Krug are at the Celtics game tonight! Go Celtics and go Bruins! #BostonStrong @tuukkarask @ToreyKrug,['https://pbs.twimg.com/profile_images/1436455754177916932/-UjwHzap_normal.jpg'],['No Video']
30,@tacosrlife13,No Name,Apr 26,Bawling like a baby watching @mark_wahlberg in @patriotsdayfilm #speechless #BostonStrong #Amazing #Selfless #Love ,['https://pbs.twimg.com/profile_images/1150187717214515201/4toS7-xt_normal.jpg'],['No Video']
31,@Pat_Burnz,No Name,Apr 26,Isaiah is going off this half already predicted  #BostonStrong #4,['https://pbs.twimg.com/profile_images/1598874916979462145/Uy4D_VOT_normal.jpg'],['No Video']
32,@MicheleMcPhee,Michele McPhee,Apr 26,That's a compliment in this town! #BostonStrong https://twitter.com/M_McKnight87/status/857408118065639425…,['https://pbs.twimg.com/profile_images/1683020232347250688/LmB-1X5S_normal.jpg'],['No Video']
33,No twitter handle,No Name,No Date,No Tweet Contents,['No Images'],['No Video']
34,@JimmyDawe,Jimmy Dawe,Apr 26,Rozier has those hops!!  #BostonStrong,['https://pbs.twimg.com/profile_images/1060735683264864257/6PysuQoC_normal.jpg'],['No Video']
35,@tjs2227,No Name,Apr 26,I HAVE GOT TO GO TO A @celtics Game to see @Isaiah_Thomas play! Man that Boston Crowd looks rowdy! #BostonStrong,['https://pbs.twimg.com/profile_images/1564331596932874240/slTp8ME8_normal.jpg'],['No Video']
36,@SosaGang0,orly sosa,Apr 26,Eat that shit up #BostonStrong,['https://pbs.twimg.com/profile_images/1432216186062872579/VeKgu2t-_normal.jpg'],['No Video']
37,@marleyfan429,Dom Grady,Apr 26,Herald green is the human version of when Rocky flipped it and went southpaw on Creed. #NBAPlayoffs2017 #Celtics #BostonStrong,['https://pbs.twimg.com/profile_images/308748944/beach_10_normal.jpg'],['No Video']
38,@shirtlessrunner,Shirtless Runner,Apr 26,36th #marathon 5th @b_a_a_ #finisher #pic #medal #bostonstrong #bostonhot #bostonbikiniboy… https://instagram.com/p/BTXnviLlVWV/,['https://pbs.twimg.com/profile_images/683091798474948608/AyQCUf_Y_normal.jpg'],['No Video']
39,@The1andonlyy__,No Name,Apr 26,At the celtics game. Its bumpin in here tonight let's go boys #bostonstrong #bleedgreen,['https://pbs.twimg.com/profile_images/1230505953272819712/EVLaGKC3_normal.jpg'],['No Video']
40,@EzHix11,Evan Z Hicks,Apr 26,Get that W and keep smiling brother! #bostonstrong,['https://pbs.twimg.com/profile_images/855417655267819520/cO4i54Dy_normal.jpg'],['No Video']
41,@PatKinnane,Patrick Kinnane,Apr 26,Just saw #PatriotsDay. Great film. #BostonStrong,['https://pbs.twimg.com/profile_images/1501364286224011269/FuLc_vBv_normal.jpg'],['No Video']
42,@markeezy07,Marcus Cortez,Apr 26,Let's go Boston!! #BostonStrong #BostonCeltics,['https://pbs.twimg.com/profile_images/1387703146516942848/3WUtLeTH_normal.jpg'],['No Video']
43,@FrankBrooksJr1,Frank Brooks Jr,Apr 26,Just got home watching he rest of the C's #Celtics #celticswin #BostonStrong,['https://pbs.twimg.com/profile_images/917748882792214528/IEpbbAeP_normal.jpg'],['No Video']
44,@DBoban15,David Boban,Apr 26,Tuukka and Krug are at the Celtics game tonight! Go Celtics and go Bruins! #BostonStrong @tuukkarask @ToreyKrug,['https://pbs.twimg.com/profile_images/1436455754177916932/-UjwHzap_normal.jpg'],['No Video']
45,@tacosrlife13,No Name,Apr 26,Bawling like a baby watching @mark_wahlberg in @patriotsdayfilm #speechless #BostonStrong #Amazing #Selfless #Love ,['https://pbs.twimg.com/profile_images/1150187717214515201/4toS7-xt_normal.jpg'],['No Video']
46,@Pat_Burnz,No Name,Apr 26,Isaiah is going off this half already predicted  #BostonStrong #4,['https://pbs.twimg.com/profile_images/1598874916979462145/Uy4D_VOT_normal.jpg'],['No Video']
47,@MicheleMcPhee,Michele McPhee,Apr 26,That's a compliment in this town! #BostonStrong https://twitter.com/M_McKnight87/status/857408118065639425…,['https://pbs.twimg.com/profile_images/1683020232347250688/LmB-1X5S_normal.jpg'],['No Video']
48,No twitter handle,No Name,No Date,No Tweet Contents,['No Images'],['No Video']
49,@JimmyDawe,Jimmy Dawe,Apr 26,Rozier has those hops!!  #BostonStrong,['https://pbs.twimg.com/profile_images/1060735683264864257/6PysuQoC_normal.jpg'],['No Video']
50,@tjs2227,No Name,Apr 26,I HAVE GOT TO GO TO A @celtics Game to see @Isaiah_Thomas play! Man that Boston Crowd looks rowdy! #BostonStrong,['https://pbs.twimg.com/profile_images/1564331596932874240/slTp8ME8_normal.jpg'],['No Video']
51,@SosaGang0,orly sosa,Apr 26,Eat that shit up #BostonStrong,['https://pbs.twimg.com/profile_images/1432216186062872579/VeKgu2t-_normal.jpg'],['No Video']
52,@marleyfan429,Dom Grady,Apr 26,Herald green is the human version of when Rocky flipped it and went southpaw on Creed. #NBAPlayoffs2017 #Celtics #BostonStrong,['https://pbs.twimg.com/profile_images/308748944/beach_10_normal.jpg'],['No Video']
53,@shirtlessrunner,Shirtless Runner,Apr 26,36th #marathon 5th @b_a_a_ #finisher #pic #medal #bostonstrong #bostonhot #bostonbikiniboy… https://instagram.com/p/BTXnviLlVWV/,['https://pbs.twimg.com/profile_images/683091798474948608/AyQCUf_Y_normal.jpg'],['No Video']
54,@The1andonlyy__,No Name,Apr 26,At the celtics game. Its bumpin in here tonight let's go boys #bostonstrong #bleedgreen,['https://pbs.twimg.com/profile_images/1230505953272819712/EVLaGKC3_normal.jpg'],['No Video']
55,@EzHix11,Evan Z Hicks,Apr 26,Get that W and keep smiling brother! #bostonstrong,['https://pbs.twimg.com/profile_images/855417655267819520/cO4i54Dy_normal.jpg'],['No Video']
56,@NitasWorld_,No Name,Apr 26,I need the Celtics to come through tonight! #BostonStrong  — watching Chicago Bulls vs Boston Celtics,['https://pbs.twimg.com/profile_images/1714654048123506688/w2ZvPCUE_normal.jpg'],['No Video']
57,@E_Ryley_T,Ryley Thompson,Apr 26,Going to a playoff game in TD Garden is a must for me.  #BostonStrong,['https://pbs.twimg.com/profile_images/1077010605578637313/K3C-jDI0_normal.jpg'],['No Video']
58,@WitchTripper86,Nick Trudeau,Apr 26,Gonna relax and watch #RedSox play the Yankees #GoSox #RedSoxNation #WinDanceRepeat #BostonStrong,['https://pbs.twimg.com/profile_images/867676489629749248/cHqeu8e6_normal.jpg'],['No Video']
59,@Rocktape,No Name,Apr 26,"Check out our #BostonMarathon highlights: http://buff.ly/2q3crA4
#runBoston #TeamRockTape #runners #RunnersKnee #shinsplints #BostonStrong","['https://pbs.twimg.com/profile_images/960651409212387328/0SuBRCSY_normal.jpg', 'https://pbs.twimg.com/media/C-X3fD8XgAAPHAd.jpg']",['No Video']
60,@scalvin864,No Name,Apr 26,I love my @RedSox #BostonStrong #RedSoxNation,"['https://pbs.twimg.com/profile_images/1044134921722302466/f2rH0u_0_normal.jpg', 'https://pbs.twimg.com/media/C-XqmOZUwAEdw_1.jpg']",['No Video']
61,@BeefEnt,Beef Ent,Apr 26,Beef Ent #bostonstrong https://instagram.com/p/BTC3RxSA3FX/,['https://pbs.twimg.com/profile_images/1338275717289742336/rPKe_S8l_normal.jpg'],['No Video']
62,@ActionNetworkHQ,Action Network,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1384641200603414530/Nq9iTLIE_normal.jpg', 'https://pbs.twimg.com/media/F_fVX5UWUAA9mT9.jpg']",['No Video']
63,@TheBruinsFans,Boston Bruins Fans,Apr 26,Patrice Bergeron Played All Season With Injury http://network.yardbarker.com/nhl/article_external/patrice_bergeron_played_all_season_with_injury/s1_8567_23812504… #BostonStrong,['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg'],['No Video']
64,@conswaylo8,No Name,Apr 26,Let's go @celtics let's make it 3 straight tonight  #BostonStrong,['https://pbs.twimg.com/profile_images/1509646217894150157/J9Ah6S1q_normal.jpg'],['No Video']
65,@BrighamWomens,Brigham and Womens Hospital,Apr 26,BWH's @EricGoralnick reflects on the preparedness & teamwork during the 2013 #BostonMarathon bombings #BostonStrong,"['https://pbs.twimg.com/profile_images/1405533429605683213/PPaG3yvD_normal.png.jpg', 'https://pbs.twimg.com/profile_images/1379776202471264260/Y3t1rwTU_mini.jpg']",['No Video']
66,@pamelashaddock,Pamela Shaddock,Apr 26,Fun facts about my hometown #Boston. #bostonstrong #heritage #beantown... http://fb.me/7G0ZL6oLu,['https://pbs.twimg.com/profile_images/1449906922971443203/r0DNqX2j_normal.jpg'],['No Video']
67,@Laureth,No Name,Apr 26,"#BostonStrong As I have heard it, only one thing tougher/scarier than men from MA...",['https://pbs.twimg.com/profile_images/1174140024989921280/doRwrGpf_normal.jpg'],['No Video']
68,@TheBruinsFans,Boston Bruins Fans,Apr 26,Bruins Need Busy Offseason http://network.yardbarker.com/nhl/article_external/bruins_need_busy_offseason/s1_13858_23810737… #BostonStrong,"['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg', 'https://pbs.twimg.com/media/C-WXrTnW0AEIWgQ.jpg']",['No Video']
69,@VimVigorEvents,No Name,Apr 26,We're so lucky to live in a place where there is so much pride. We love Boston and these lifesize Boston Strong ribbons! #BostonStrong #NECR,"['https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png.jpg', 'https://pbs.twimg.com/media/C-WQEYLWsAAsoxj.jpg']",['No Video']
70,@NECRPrint,NECR Print,Apr 26,We're so lucky to live in a place where there is so much pride. We love Boston and these lifesize Boston Strong ribbons! #BostonStrong #NECR,"['https://pbs.twimg.com/profile_images/666715438328352769/7kl8sQ5T_normal.jpg', 'https://pbs.twimg.com/media/C-WQDABWsAE6olA.jpg']",['No Video']
71,@WitchTripper86,Nick Trudeau,Apr 26,@RedSox #RedSox play the Skankees today!! Let's go Red Sox. #GoSox #RedSoxNation #WinDanceRepeat #BostonStrong,['https://pbs.twimg.com/profile_images/867676489629749248/cHqeu8e6_normal.jpg'],['No Video']
72,@TheBruinsFans,Boston Bruins Fans,Apr 26,"Bruce Cassidy gets interim tag removed, named 28th coach of Bruins http://network.yardbarker.com/nhl/article_external/bruce_cassidy_gets_interim_tag_removed_named_28th_coach_of_bruins/s1_13876_23809948… #BostonStrong",['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg'],['No Video']
73,@Jenna91Jenna,No Name,Apr 26,"#AsherStrong Go http://crowdrise.com to donate to a 5 year old fighting cancer in Athens, GA AsherStrong #BostonStrong #BostonMarathon","['https://pbs.twimg.com/profile_images/1039319578994794498/iRTQUO5L_normal.jpg', 'https://pbs.twimg.com/media/C-VesCxXoAEzAZN.jpg', 'https://pbs.twimg.com/media/C-VesCyXkAEv4xg.jpg', 'https://pbs.twimg.com/media/C-VesCyXkAABrGz.jpg']",['No Video']
74,@MitchySKIS,No Name,Apr 25,"""Boston is a magical place"" . #agreed #bostonstrong","['https://pbs.twimg.com/profile_images/877881038197882881/XMThhLl8_normal.jpg', 'https://pbs.twimg.com/media/C-TauGWUwAEDiSS.jpg']",['No Video']
75,@mooseforbes27,Chris Forbes,Apr 25,Just watched Patriots Day and it definitely tears at the heart strings especially being from New England!! #BostonStrong,['https://pbs.twimg.com/profile_images/1087170115806859264/TcDT3nIZ_normal.jpg'],['No Video']
76,@Love_goddess9,No Name,Apr 25,I rep my city all day #Cityofchamps #bostonstrong #wegotnext,['https://pbs.twimg.com/profile_images/1676744128925773824/tjEJVPDQ_normal.jpg'],['No Video']
77,@docandjohn4ever,No Name,Apr 25,What an amazing movie! Loved the ending with the quote from Papi and footage of the actual people who were there #PatriotsDay #bostonstrong,['https://pbs.twimg.com/profile_images/1721155248272613377/6_Hdo-fJ_normal.jpg'],['No Video']
78,@TheBruinsFans,Boston Bruins Fans,Apr 25,Patrice Bergeron apparently played the whole season with a sports hernia http://network.yardbarker.com/nhl/article_external/patrice_bergeron_apparently_played_the_whole_season_with_a_sports_hernia/s1_13156_23806903… #BostonStrong,"['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg', 'https://pbs.twimg.com/media/C-TKLbfWsAIolJe.jpg']",['No Video']
79,@DerekFunny12,Derek Kania,Apr 25,I know... but they Suck! Lol.  #BostonStrong #TitleTown and they have.... #TB12,['https://pbs.twimg.com/profile_images/1361656237407014913/rOZssVO8_normal.jpg'],['No Video']
80,@TheBruinsFans,Boston Bruins Fans,Apr 25,Bruins defenseman Brandon Carlo confirms he missed postseason with a concussion http://network.yardbarker.com/nhl/article_external/bruins_defenseman_brandon_carlo_confirms_he_missed_postseason_with_a_concussion/s1_13876_23805925… #BostonStrong,['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg'],['No Video']
81,@docandjohn4ever,No Name,Apr 25,Watching #PatriotsDay for the first time #bostonstrong,['https://pbs.twimg.com/profile_images/1721155248272613377/6_Hdo-fJ_normal.jpg'],['No Video']
82,@ronnieisrunning,Ron McCracken,Apr 25,https://youtu.be/dbtRUoDMrfc Almost 300 views! #BostonMarathon #BostonStrong #BeBoston #LondonMarathon #EllenDeGeneres #Melanoma #MFNE,"['https://pbs.twimg.com/profile_images/860939233879613440/q8-xzEDG_normal.jpg', 'https://pbs.twimg.com/card_img/1729539043598438400/WV_DNcuF.jpg']",['No Video']
83,@TheBruinsFans,Boston Bruins Fans,Apr 25,Boston Bruins Forward Patrice Bergeron Played Entire 2016-17 Season Injured http://network.yardbarker.com/nhl/article_external/boston_bruins_forward_patrice_bergeron_played_entire_2016_17_season_injured/s1_7864_23805607… #BostonStrong,"['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg', 'https://pbs.twimg.com/media/C-SljeoXsAEpHp0.jpg']",['No Video']
84,@paigexo23,No Name,Apr 25,Patriots day movie has me in fucking tears  #BostonStrong,['https://pbs.twimg.com/profile_images/1615758219065819145/WW3pA5Gt_normal.jpg'],['No Video']
85,@newporthealth_,Newport Healthcare,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1599919571326025728/O1yy1Ltv_normal.png.jpg', 'https://pbs.twimg.com/media/F9z0C6Ob0AAHW1L.jpg', 'https://pbs.twimg.com/media/F9z0EIGbEAAW_zP.jpg', 'https://pbs.twimg.com/media/F9z0FaPagAABOUj.jpg', 'https://pbs.twimg.com/media/F9z0GhmaEAEdUX6.jpg', 'https://pbs.twimg.com/media/F9z0Hv5bkAAeNh5.jpg']",['No Video']
86,@travis_111,No Name,Apr 25,broooooo you are dumb #BostonStrong #Boston #RedSoxs,['https://pbs.twimg.com/profile_images/1615419474240278545/pdJiaqaz_normal.jpg'],['No Video']
87,@bradr,Brandon Wang,Apr 25,"As we watch SF housing prices soar, really proud to be a part of the growing tech ecosystem in Boston/Cambridge. #BostonStrong",['https://pbs.twimg.com/profile_images/1405226503441321985/4rvqzKWK_normal.jpg'],['No Video']
88,@MrsMcMahon4ever,Christa McMahon,Apr 25,Looking forward to going to the home town of @JimmyinBoston this weekend. #fenway #baseball #Bostonstrong,['https://pbs.twimg.com/profile_images/709507778717618176/SV3VmQ5B_normal.jpg'],['No Video']
89,@drnasrine,No Name,Apr 25,"THIS! IS amazing, laughing from #BostonStrong to #mydubai to I hope #India one day! Once you go #brown the other colors just let you down!","['https://pbs.twimg.com/profile_images/1348954603425918978/Xs9mlw_H_normal.jpg', 'https://pbs.twimg.com/profile_images/1359394524980629508/xYuMlKUp_mini.jpg', 'https://pbs.twimg.com/media/C-PrZSeUIAEs79_.jpg']",['No Video']
90,@thoughtclimber,No Name,Apr 25,#Boston #Celtics star guard talks about playing w/#grief. #Bostonstrong #Isaiahthomas #mentalhealth #endstigma http://ow.ly/BPYS30b8rrV,['https://pbs.twimg.com/profile_images/1609530159035564039/dRfTqSZ9_normal.png.jpg'],['No Video']
91,@itshalani,Halani C,Apr 25,#Boston #Celtics star guard talks about playing w/#grief. #Bostonstrong #Isaiahthomas #mentalhealth #endstigma http://ow.ly/BPYS30b8rrV,['https://pbs.twimg.com/profile_images/1619440517275684868/1eHakSrt_normal.jpg'],['No Video']
92,@nicole_morin97,Nicole Morin,Apr 25,Celtic are a #1 seed but lost twice already  remaining hopeful they'll pull it together #USCAISMS #BostonStrong,['https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png.jpg'],['No Video']
93,@alana_scott7,Alana Scott,Apr 24,My marathon coach and friend Larry making the @bostonmarathon his #BostonStrong ,"['https://pbs.twimg.com/profile_images/1358823820040175624/iowtot1s_normal.jpg', 'https://pbs.twimg.com/profile_images/378800000675954444/cfe318cc141db0c6d8cb8c1be46d90ed_mini.jpeg', 'https://pbs.twimg.com/media/C96CsPgU0AAUJP3.jpg']",['No Video']
94,@TheBruinsFans,Boston Bruins Fans,Apr 24,Charlie McAvoy’s Bruins emergence will stand out as bright spot of postseason http://network.yardbarker.com/nhl/article_external/charlie_mcavoys_bruins_emergence_will_stand_out_as_bright_spot_of_postseason/s1_13876_23799373… #BostonStrong,['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg'],['No Video']
95,@PattiSueBateman,Patti Bateman,Apr 24,Thank you @bostonmarathon volunteers @CityOfBoston @bostonpolice for your excellence & great ! I'll never forget you! #BostonStrong,"['https://pbs.twimg.com/profile_images/844039005096296449/YRmqJ4gM_normal.jpg', 'https://pbs.twimg.com/media/C-OWh-AUwAARgTB.jpg']",['No Video']
96,@r_s_godfather,michael fernandes,Apr 24,@BillSimmons how #bostonstrong is @sergeibaka_7 and PJ Tucker right now? #wethenorth,['https://pbs.twimg.com/profile_images/378800000371873998/28f2a044b71a8426d7f383b76fd1eb3c_normal.jpeg'],['No Video']
97,@s_smey,No Name,Apr 24,Patriots Day is an absolutely powerful movie! #bostonstrong #thisisourfuckingcity ,['https://pbs.twimg.com/profile_images/1498868404085743617/zIkZDmJC_normal.jpg'],['No Video']
98,@ronnieisrunning,Ron McCracken,Apr 24,"https://youtu.be/0c5zoqyqWCY 6,500 days in a row. 51 weeks until my 18th #BostonMarathon #BeBoston #EllenDeGeneres #Mizuno #Oofos #BostonStrong","['https://pbs.twimg.com/profile_images/860939233879613440/q8-xzEDG_normal.jpg', 'https://pbs.twimg.com/card_img/1730237972111306752/3C8Yfmce.jpg']",['No Video']
99,@TheBruinsFans,Boston Bruins Fans,Apr 24,The frivolous calls that ended the Boston Bruins’ season http://network.yardbarker.com/nhl/article_external/the_frivolous_calls_that_ended_the_boston_bruins_season/s1_7899_23797159… #BostonStrong,"['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg', 'https://pbs.twimg.com/media/C-NX1LEWAAA32rF.jpg']",['No Video']
100,@TheBruinsFans,Boston Bruins Fans,Apr 24,3 Takeaways from Bruins’ Season http://network.yardbarker.com/nhl/article_external/3_takeaways_from_bruins_season/s1_13858_23796388… #BostonStrong,"['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg', 'https://pbs.twimg.com/media/C-NI7M-XgAEGVV4.jpg']",['No Video']
101,@BeckBode,Beck Bode,Apr 24,"Bobby Carpenter & Denna Laing, 2 former hockey stars combined for an inspired Boston Marathon finish #BostonStrong - http://ow.ly/dyVc30aYVmK","['https://pbs.twimg.com/profile_images/590628876138717184/v7FBXkKP_normal.jpg', 'https://pbs.twimg.com/media/C-M5PTqUwAAOYma.jpg']",['No Video']
102,@TheBruinsFans,Boston Bruins Fans,Apr 24,Where it went wrong: Stanley Cup Playoffs Round 1 exits http://yardbarker.com/nhl/articles/where_it_went_wrong_stanley_cup_playoffs_round_1_exits/s1_13132_23795476… #BostonStrong,"['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg', 'https://pbs.twimg.com/media/C-Mv-stXsAAeoBg.jpg']",['No Video']
103,@KuuipoKeeps,uipo Keeps,Apr 24,"Go Sox!! #bostonstrong
http://Bit.ly/MLBLine","['https://pbs.twimg.com/profile_images/852414461235396608/zcNtVzkp_normal.jpg', 'https://pbs.twimg.com/media/C-Mu0DyXcAMX13V.jpg']",['No Video']
