,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@LouNZAnne1,No Name,30-May,@MassGovernor @SenWarren @EdMarkey Let’s get those cruise ships to leave from Boston !!! #Tourism #BostonStrong #Massachusetts,"['https://pbs.twimg.com/profile_images/1267079147232387073/NRwmEOQO_normal.jpg', 'https://pbs.twimg.com/profile_images/3002160609/84b88a8e6a4fff0cd9b5fb0075bf9fc5_mini.png.jpg', 'https://pbs.twimg.com/media/E2ooOmjXwAAIkOf.jpg']",['No Video']
1,@kayrosay_,KATIE ROSÉNew England Travel Tips,30-May,"This is your sign to go to a Stanley Cup playoff game 
#bruins #boston #StanleyCup #StanleyCupPlayoffs #BostonStrong #bostonbruins #bruinsplayoffgame","['https://pbs.twimg.com/profile_images/1644016251650318341/Wz8nOUSO_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1399110396582182921/pu/img/EtASY2zEA62ws9Vn.jpg']",['https://pbs.twimg.com/ext_tw_video_thumb/1399110396582182921/pu/img/EtASY2zEA62ws9Vn.jpg']
2,@NKOTBHistory1,NKOTB History,30-May,"May 30th-In 2013, @NKOTB performed at @tdgarden as part of the #BostonStrong benefit concert with @BoyzIIMen, @Aerosmith, and many more. #OnThisDay https://youtu.be/BbZMie-C5Bs","['https://pbs.twimg.com/profile_images/1617320158384590851/cH7GDN1l_normal.jpg', 'https://pbs.twimg.com/media/E2qfcHdXwAAYDeY.jpg']",['No Video']
3,@soxbats,No Name,30-May,"The @kplawecki26 game used @redsox catchers collection is growing, with the addition of a #BostonStrong jersey and a 2019 batting helmet.","['https://pbs.twimg.com/profile_images/3362809890/8d3e988d298c6e184925ddc88e71ecaa_normal.png.jpg', 'https://pbs.twimg.com/media/E2p6V8LWEAIDF4X.jpg']",['No Video']
4,@soxbats,No Name,30-May,Thrilled to add these game used #BostonStrong @redsox game used jerseys of catchers @kplawecki26 and @Christian_7_7_ to our collection and proud to support @RedSoxFund and all the great work they do in the community.,"['https://pbs.twimg.com/profile_images/3362809890/8d3e988d298c6e184925ddc88e71ecaa_normal.png.jpg', 'https://pbs.twimg.com/media/E2p4GuZWEAkDCiP.jpg', 'https://pbs.twimg.com/media/E2p4Gv0XMAgiWbj.jpg']",['No Video']
5,@NoMorGamesRadio,No Name,30-May,"#BostonStrong concert was #OTD 2013. So emotional & foreshadow of #NKOTBBD #Fenway2021 where @NKOTB & @OfficialBBD perform #Poison!!  @DonnieWahlberg #JordanKnight @JonathanRKnight @joeymcintyre @dannywood @MrRickyBell @617MikeBiv @RonDeVoe
#NoMoreGamesRadio
 YT chrisalec16","['https://pbs.twimg.com/profile_images/1686593256065290241/TtCgM8_m_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1399044484734799872/pu/img/QdNPJelqcPMzW1Cm.jpg']",['https://pbs.twimg.com/ext_tw_video_thumb/1399044484734799872/pu/img/QdNPJelqcPMzW1Cm.jpg']
6,@kayrosay_,KATIE ROSÉNew England Travel Tips,30-May,"This is your sign to go to a Stanley Cup playoff game 
#bruins #boston #StanleyCup #StanleyCupPlayoffs #BostonStrong #bostonbruins #bruinsplayoffgame","['https://pbs.twimg.com/profile_images/1644016251650318341/Wz8nOUSO_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1399110396582182921/pu/img/EtASY2zEA62ws9Vn.jpg']",['https://pbs.twimg.com/ext_tw_video_thumb/1399110396582182921/pu/img/EtASY2zEA62ws9Vn.jpg']
7,@NKOTBHistory1,NKOTB History,30-May,"May 30th-In 2013, @NKOTB performed at @tdgarden as part of the #BostonStrong benefit concert with @BoyzIIMen, @Aerosmith, and many more. #OnThisDay https://youtu.be/BbZMie-C5Bs","['https://pbs.twimg.com/profile_images/1617320158384590851/cH7GDN1l_normal.jpg', 'https://pbs.twimg.com/media/E2qfcHdXwAAYDeY.jpg']",['No Video']
8,@soxbats,No Name,30-May,"The @kplawecki26 game used @redsox catchers collection is growing, with the addition of a #BostonStrong jersey and a 2019 batting helmet.","['https://pbs.twimg.com/profile_images/3362809890/8d3e988d298c6e184925ddc88e71ecaa_normal.png.jpg', 'https://pbs.twimg.com/media/E2p6V8LWEAIDF4X.jpg']",['No Video']
9,@soxbats,No Name,30-May,Thrilled to add these game used #BostonStrong @redsox game used jerseys of catchers @kplawecki26 and @Christian_7_7_ to our collection and proud to support @RedSoxFund and all the great work they do in the community.,"['https://pbs.twimg.com/profile_images/3362809890/8d3e988d298c6e184925ddc88e71ecaa_normal.png.jpg', 'https://pbs.twimg.com/media/E2p4GuZWEAkDCiP.jpg', 'https://pbs.twimg.com/media/E2p4Gv0XMAgiWbj.jpg']",['No Video']
10,@NoMorGamesRadio,No Name,30-May,"#BostonStrong concert was #OTD 2013. So emotional & foreshadow of #NKOTBBD #Fenway2021 where @NKOTB & @OfficialBBD perform #Poison!!  @DonnieWahlberg #JordanKnight @JonathanRKnight @joeymcintyre @dannywood @MrRickyBell @617MikeBiv @RonDeVoe
#NoMoreGamesRadio
 YT chrisalec16",['https://pbs.twimg.com/profile_images/1686593256065290241/TtCgM8_m_normal.jpg'],['https://pbs.twimg.com/ext_tw_video_thumb/1399044484734799872/pu/img/QdNPJelqcPMzW1Cm.jpg']
11,@Mg5885,No Name,30-May,Let’s go CELTS #BleedGreen  #DakotaCashBombGiveAway  #BostonStrong ,['https://pbs.twimg.com/profile_images/1410400354668322819/kfDfae2n_normal.jpg'],['No Video']
12,@bobc_hsem,Bob Connors,30-May,"Jason Varitek caught four no hitters. He knows the game like no other. He should be a manager, but I’m happy we still have him in the dugout.  He’s an unsung hero.
#captain #redsox #RedSoxNation #bostonstrong
https://bostonglobe.com/2021/05/29/sports/jason-varitek-is-still-finding-ways-red-sox-win/…",['https://pbs.twimg.com/profile_images/1157333472811409409/GvJ1QAK1_normal.jpg'],['No Video']
13,@MagikFlameFire,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1665878022358966272/vnZy1FdV_normal.jpg', 'https://pbs.twimg.com/commerce_product_img/1691691322074095784/grArpnO2.jpg', 'https://pbs.twimg.com/commerce_product_img/1701475755664748770/O9PyHr5E.jpg', 'https://pbs.twimg.com/commerce_product_img/1691691322023805157/UcbJztw-.jpg', 'https://pbs.twimg.com/commerce_product_img/1691691322044830172/qokHIuuF.jpg', 'https://pbs.twimg.com/commerce_product_img/1701475755509657734/6eONX9gm.jpg', 'https://pbs.twimg.com/commerce_product_img/1701475755555704993/cx-kZd2Y.jpg']",['No Video']
14,@JohnnyR61105610,Johnny B Wright,30-May,Bars are all open! I’m still an alcoholic though.  #WCVB #BostonStrong,['https://pbs.twimg.com/profile_images/1399919040613736449/IMTc97uw_normal.jpg'],['No Video']
15,@BigSmart100,Mohammed AbdelRazzaq,30-May,How it should be! #BostonStrong,['https://pbs.twimg.com/profile_images/723807464/DSC01726_normal.JPG.jpg'],['No Video']
