,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@cjteachout,Christopher Teachout,Apr 21,"Hey terrorists......F**K YOU!
#BostonStrong #BostonMarathon","['https://pbs.twimg.com/profile_images/3530633427/d78e0ed162641c3dc7b49fbf2cd4aa1a_normal.jpeg', 'https://pbs.twimg.com/media/BlyLlP4IAAAiMxx.jpg']",['No Video']
1,@markwhite0659,High Plains Drifter,Apr 21,@nata1950 President Jim Thorton and Larry Venis. Boston Marathon #BostonStrong,"['https://pbs.twimg.com/profile_images/2519453337/4wm5v1kaq303xl3u76ip_normal.jpeg', 'https://pbs.twimg.com/media/BlyLg_5IAAAoZ3u.jpg']",['No Video']
2,@GOLDCOUNCIL,World Gold Council,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1686256176072208384/BD17NEI9_normal.jpg', 'https://pbs.twimg.com/media/GAvGTviW4AAyFHy.jpg']",['No Video']
3,@JoelMcCreary,Joel McCreary,Apr 21,"Beautiful day for the #bostonmarathon. Thx 4 cheering Felicia, Bostonians, @azbandidos, & @irish94jrm!  #bostonstrong","['https://pbs.twimg.com/profile_images/2416651166/image_normal.jpg', 'https://pbs.twimg.com/media/BlyLe4sIgAAJJlS.jpg']",['No Video']
4,@italian_trojan,Mike Luca,Apr 21,"Who is your favorite current player on the @Patriots, and who's your favorite player in franchise history? #BostonStrong #NewEnglandPatriots",['https://pbs.twimg.com/profile_images/1018577655980089345/4qCho5Yp_normal.jpg'],['No Video']
5,@bdomingob,Brian Domingo,Apr 21,Really cool moment @bostonmarathon via @SBNation #BostonStrong http://bit.ly/1gO4RKu,['https://pbs.twimg.com/profile_images/817936869547614208/REO4P80S_normal.jpg'],['No Video']
6,@CommissBratton,Bill Bratton,Apr 21,"Happy to see Ed Davis today, former Boston Police Commissioner and a great friend. #BostonStrong","['https://pbs.twimg.com/profile_images/921821927735521282/N53zP3TQ_normal.jpg', 'https://pbs.twimg.com/media/BlyLcSeIAAAfwKJ.jpg']",['No Video']
7,@ElyxrLa,Elyxr LA,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1633970450219819009/IknhOy7K_normal.png.jpg', 'https://pbs.twimg.com/media/F06wTE3aYAA047Z.jpg', 'https://pbs.twimg.com/media/F06wVujaQAAGOtZ.jpg']",['No Video']
8,@ROLandverse,Ragnarok Landverse,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1657928335828348928/9WqR0Esj_normal.jpg', 'https://pbs.twimg.com/media/F9Ag26taQAAwIYo.jpg']",['https://pbs.twimg.com/media/F9Ag26taQAAwIYo.jpg']
9,@jelovette,Joseph Lovette,Apr 21,"It's a beautiful day for a run. In fact, I'll run in honor of the Boston Marathoners! #BostonStrong",['https://pbs.twimg.com/profile_images/750343294505324544/-Q41pe7G_normal.jpg'],['No Video']
10,@BenzieMK,No Name,Apr 21,Congratulations to @joeymcintyre & @dannywood !! AMAZING jobxo @DonnieWahlberg @jordanknight #BostonMarathon #BostonStrong,['https://pbs.twimg.com/profile_images/1246983589800988673/YWBDpSL-_normal.jpg'],['No Video']
11,@ButterfliesGo,No Name,Apr 21,"Faneuil Hall from ""Find Me"" #Boston #BostonStrong #comics #comicbooks #StoryOfMyLife #storytelling #books #makecomics","['https://pbs.twimg.com/profile_images/378800000050743554/28e74d23539b0c6ac2638b5b9a58cbca_normal.jpeg', 'https://pbs.twimg.com/media/BlyLRBLIgAAH5jl.jpg']",['No Video']
