,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@lucastcasey,Lucas Casey,Apr 20,Great show on sport center can't believe how much the nation as came together after that day god bless America #BostonStrong,['https://pbs.twimg.com/profile_images/1468007262056812545/dvsRjnvk_normal.jpg'],['No Video']
1,@SNE_ALERTS,No Name,Apr 20,RT“@CommissBratton: With the #NYPD Bomb Squad in Boston to assist at the Marathon. Great collaboration #BostonStrong ”,"['https://pbs.twimg.com/profile_images/2495292483/images-1_normal.jpeg', 'https://pbs.twimg.com/media/Bls05W7IgAEK6Gx.jpg']",['No Video']
2,@SuperiorTi,Superior Titanium Products,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1597029941605974017/F0e1Tjf3_normal.jpg', 'https://pbs.twimg.com/media/Fiqk7EtXEAAa0Os.jpg', 'https://pbs.twimg.com/media/FinN7jdXEAAxVnw.jpg', 'https://pbs.twimg.com/media/FinNQfAWYAAjxnt.jpg', 'https://pbs.twimg.com/media/FfnzoyaX0A0DjGX.jpg', 'https://pbs.twimg.com/media/Ffn0DGvXEAAeNeU.jpg']",['No Video']
3,@ChrisWalshAZ,Chris Walsh,Apr 20,"@ShalaneFlanagan Do it to it tomorrow, have a great race #BostonStrong",['https://pbs.twimg.com/profile_images/1697444207068344320/yCyzgsmn_normal.jpg'],['No Video']
4,@MrTonyAnderson,Tony Anderson,Apr 20,Big S/O to @JakeGu3 running in the Boston marathon tomm! #DoWork #TeamHoyt #GussStrong #BostonStrong,['https://pbs.twimg.com/profile_images/969952114414940162/P53DmIVM_normal.jpg'],['No Video']
5,@HECTORFONSECA,Hector Fonseca,Apr 20,Oh hey #BostonStrong !! I'm here & I bring #TribalBeats for tonight's #party for a good cause at @RoyaleBoston !,"['https://pbs.twimg.com/profile_images/1384153998312153092/B4KZgwTm_normal.jpg', 'https://pbs.twimg.com/media/BltB9DsIUAAglCb.jpg']",['No Video']
6,@MyJoys,MyJoys FootJoy,Apr 20,BOSTON What an amazing opening ceremony!!!!! #BostonStrong #playball,"['https://pbs.twimg.com/profile_images/378800000296581628/437d66e8206dbee94ebd6b75b3edfcf5_normal.jpeg', 'https://pbs.twimg.com/media/BltB8-wIEAAdSc7.jpg']",['No Video']
7,@ActionNetworkHQ,Action Network,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1384641200603414530/Nq9iTLIE_normal.jpg', 'https://pbs.twimg.com/media/GAiPjUBXIAAqLBi.jpg']",['No Video']
8,@PIFBS,Pitch In For Baseball,Apr 20,We are all part of #RedSoxNation tomorrow.  #BostonStrong,['https://pbs.twimg.com/profile_images/1177233984704647168/3TPR2l2__normal.jpg'],['No Video']
9,@Schwartzeb27,Brendon Schwartze,Apr 20,This E:60 on @espn is crazy!!!! So inspirational and sad at the same time! #BostonStrong,['https://pbs.twimg.com/profile_images/1193657425708158977/1soA7mU2_normal.jpg'],['No Video']
10,@Scentbird,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/988458258519097344/OFcm0zke_normal.jpg', 'https://pbs.twimg.com/media/F9xD-_wW0AAxpHO.jpg']",['No Video']
11,@dixieagle,Marie Grip,Apr 20,"At Irish pub in Fairhope AL watching the #RedSox, pretending I'm in Boston. #BostonStrong",['https://pbs.twimg.com/profile_images/1057479443617341442/ZV6hNdjP_normal.jpg'],['No Video']
12,@TylerREvans,Tyler Evans,Apr 20,Boston vs Baltimore #GoSox #BostonStrong,['https://pbs.twimg.com/profile_images/1098965999578161152/hrKT4Y71_normal.png.jpg'],['No Video']
13,@_Fire_Marshall,Brandon Marshall,Apr 20,Dream on!! #BostonStrong,['https://pbs.twimg.com/profile_images/1441860363478261761/6kCYbcws_normal.jpg'],['No Video']
14,@briannahegarty,Brianna Hegarty,Apr 20,The E60 documenting the marathon last year and it's many victims is a tearjerker. #BostonStrong ,['https://pbs.twimg.com/profile_images/414642967945953280/lWMU6kCh_normal.jpeg'],['No Video']
15,@seannmulcahy,Seann Mulcahy,Apr 20,Boylston Street is going to be the safest place on the planet tomorrow #BostonStrong,['https://pbs.twimg.com/profile_images/1130993307365122048/1UFthAyI_normal.jpg'],['No Video']
16,@MaddieI11,No Name,Apr 20,"Good luck to all the marathon runner tomorrow! Finish strong, we all stand behind you to cheer you on! #BostonStrong",['https://pbs.twimg.com/profile_images/1529968568296693770/QyqxtOIb_normal.jpg'],['No Video']
17,@hungryelle,Lynn aka Elle,Apr 20,Listening to #espn during the #RedSox game and its making me even more #proud! #BostonStrong #hometownpride on this almost #MarathonMonday,['https://pbs.twimg.com/profile_images/2812098811/33b5f50e740b78d2de55f8ac3c4a6b72_normal.png.jpg'],['No Video']
18,@NISXAN,Boyd Barnett,Apr 20,@CoachTbratt @RedSox @espn Still wishing I had one of those! #HailState #BostonStrong,['https://pbs.twimg.com/profile_images/1668826131091398656/Di6VzWbk_normal.jpg'],['No Video']
19,@lornahkiplagat,Lornah Kiplagat,Apr 20,@nyrrmaryruns All the best for tomorrows race ! See you at the finish line at Boylston Str. #BostonStrong #BostonMarathon,['https://pbs.twimg.com/profile_images/1024222943080013825/u2FJpcHt_normal.jpg'],['No Video']
20,@brwneyedgrl23,No Name,Apr 20,So many inspiring stories of people who were hurt in Boston last year who are running this year! #BostonStrong,['https://pbs.twimg.com/profile_images/1719863780081848320/bD6Lff0x_normal.jpg'],['No Video']
21,@Willy123312,No Name,Apr 20,@JennyDellNESN it's not delivery it's @DiGiornoPizza @LindenCheese thought u might want this pic!  #BostonStrong,"['https://pbs.twimg.com/profile_images/662633201907568640/_6BF-bF3_normal.jpg', 'https://pbs.twimg.com/media/BltBr2gIIAA_LW4.jpg']",['No Video']
22,@CsisniegaE,Carlos Sisniega E,Apr 20,"Retweet to wish luck to the rest of the Mizuno Racing team athletes running #Boston tomorrow! We will see you Copley Square! #BostonStrong""",['https://pbs.twimg.com/profile_images/825194917903347712/wypB2MG1_normal.jpg'],['No Video']
23,@GamesRadar,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/534421302526746624/NbQXGGv2_normal.png.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1724041952558026752/img/NiXrIvh8RohtjO9K.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1724041952558026752/img/NiXrIvh8RohtjO9K.jpg']
24,@DarlingtonChick,No Name,Apr 20,Kudos to @mikebarnicle for noting that the spirit of #BostonStrong would have happened in any American city.  Pretty true.  #Excellent,['https://pbs.twimg.com/profile_images/1725707670772940800/2PZm7GZ5_normal.jpg'],['No Video']
25,@peterbaptista,Peter Baptista,Apr 20,#BostonStrong ... Great job by the @RedSox tonight!,['https://pbs.twimg.com/profile_images/1105282042093277185/_SQfNfYi_normal.jpg'],['No Video']
26,@Aaron_Kraus,Aaron Kraus,Apr 20,"""It's a lot easier to help heal, than it is to heal."" - Jonny Gomes of the @RedSox #BostonStrong #BostonMarathon",['https://pbs.twimg.com/profile_images/1412218082907537408/QAL6_SRv_normal.jpg'],['No Video']
27,@AshleyBiddle23,Ashley Biddle,Apr 20,pretty sure I've cried atleast once every segment of this @E60 #DreamOn documentary about the Boston Marathon. #BostonStrong,['https://pbs.twimg.com/profile_images/1553898590531117056/3brm6QHx_normal.jpg'],['No Video']
28,@CTI_Funding,City Traders Imperium,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1534785314178453504/GR_2pv_2_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1729166955754450944/pu/img/2GgbeF1ej9q30qgV.jpg']",['https://pbs.twimg.com/ext_tw_video_thumb/1729166955754450944/pu/img/2GgbeF1ej9q30qgV.jpg']
29,@Ozzypallooza,John Osborn,Apr 20,#BostonStrong RT @MLB: The @RedSox pay tribute to the victims and heroes of last year’s tragedy.,"['https://pbs.twimg.com/profile_images/1111262567316508672/cDS41u4y_normal.jpg', 'https://pbs.twimg.com/media/Bls8ugfCMAAJ4sn.jpg']",['No Video']
30,@Ozzypallooza,John Osborn,Apr 20,#BostonStrong RT @MLB: The @RedSox pay tribute to the victims and heroes of last year’s tragedy.,"['https://pbs.twimg.com/profile_images/1111262567316508672/cDS41u4y_normal.jpg', 'https://pbs.twimg.com/media/Bls8ugfCMAAJ4sn.jpg']",['No Video']
31,@anthonymiano123,Anthony Miano,Apr 20,My best wishes go out to all the runners running in the marathon tomorrow #BostonStrong,['https://pbs.twimg.com/profile_images/776100836346826752/yZseuFyP_normal.jpg'],['No Video']
32,@theandrewzone,Andrew J,Apr 20,It is far more better to #help someone than to #hate someone! #bostonstrong #success #motivation… http://instagram.com/p/nB-etkIu-7/,['https://pbs.twimg.com/profile_images/1045068397547900928/7k9JHtsg_normal.jpg'],['No Video']
33,@teamEN,No Name,Apr 20,Ready to race!! #boston #bostonstrong #workworks http://instagram.com/p/nB-oiKQIbt/,['https://pbs.twimg.com/profile_images/887379677953892352/vkl33GXX_normal.jpg'],['No Video']
34,@cypherpunkstore,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1659601095080169472/_RKvFpk3_normal.jpg', 'https://pbs.twimg.com/media/GAsGy2ZbcAEitnw.jpg']",['No Video']
35,@rangel22_bill,Cindy Hawkins,Apr 20,@RedSox Thank you for such a beautiful ceremony before the game. Wonderful to watch through the tears in my eyes. #BostonStrong  GO SOX.,['https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png.jpg'],['No Video']
36,@PIFBS,Pitch In For Baseball,Apr 20,Thinking of all of the youth programs we've helped in the Boston area in the last 9 years. #BostonStrong,['https://pbs.twimg.com/profile_images/1177233984704647168/3TPR2l2__normal.jpg'],['No Video']
37,@Cindyring,Cindy R,Apr 20,Thinking about the 36000 that will be running the Boston Marathon tomorrow! Wish I could be there to witness it. #oneday #BostonStrong,['https://pbs.twimg.com/profile_images/1638668675241725953/lr_PjxUs_normal.jpg'],['No Video']
38,@katie_kiel,Katie Kiel,Apr 20,Watched E:60 on the Boston Marathon bombing survivors...I'm in awe of their strength and determination. #Respect #BostonStrong,['https://pbs.twimg.com/profile_images/1395720090700636164/NR6NX-rR_normal.jpg'],['No Video']
39,@Linkinlouisvill,Lincoln Cappelletti,Apr 20,Resiliency...pride...courage...compassion...hope !!! #BostonStrong #PatriotsDay #BostonMarathon,['https://pbs.twimg.com/profile_images/1471609520950497289/Ssl-0Q1B_normal.jpg'],['No Video']
40,@dashingwhippets,Dashing Whippets Running Team,Apr 20,The hay is in the barn. Good luck runners! #BostonMarathon #BostonStrong,['https://pbs.twimg.com/profile_images/1300855929932591104/HLQ3hfeK_normal.jpg'],['No Video']
41,@GinaMScarpa,Gina Scarpa,Apr 20,@E60 #DreamOn amazingly done!  Cried and felt stronger because of the profiled stories. #bostonstrong,['https://pbs.twimg.com/profile_images/1300210907583311876/0FMQwUEX_normal.jpg'],['No Video']
42,@PRod85,No Name,Apr 20,RT @MLBFanCave: An emotional tribute at Fenway Park tonight. #BostonStrong,"['https://pbs.twimg.com/profile_images/1385439621119684610/vf6TqcOn_normal.jpg', 'https://pbs.twimg.com/media/Bls8f4GIEAAYTzM.jpg']",['No Video']
43,@RyBarr398,No Name,Apr 20,That E:60 was pretty good #BostonStrong,['https://pbs.twimg.com/profile_images/1598164341576040453/KrLq3OiW_normal.jpg'],['No Video']
44,@ProjectRebirth,Project Rebirth,Apr 20,Elite runners say sport is resilient! #BostonStrong #MarathonMonday https://facebook.com/ProjectRebirth/posts/10152357266289687…,['https://pbs.twimg.com/profile_images/443427108090441728/0f1gQ9QT_normal.jpeg'],['No Video']
45,@consumerpal,The American Consumer Institute,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1031990180658507781/sO6rozMr_normal.jpg', 'https://pbs.twimg.com/media/F-6H-7wWIAAOAuC.jpg']",['No Video']
46,@Steffanie507,Stephanie Michelle,Apr 20,#BostonStrong support for Boston but let's go O's in this game against the Sox. :),['https://pbs.twimg.com/profile_images/1166046644753899521/ryhDw8o6_normal.jpg'],['No Video']
47,@janine_jones11,Janine Jones,Apr 20,#bostonstrong #boston #oneyear #anniversary #fenwaypark #redsox #mlb @ Fenway Park http://instagram.com/p/nB-e9cAYsV/,['https://pbs.twimg.com/profile_images/491110051793207296/pLNAXhWk_normal.jpeg'],['No Video']
48,@lizzzc88,Lizz Clark,Apr 20,beyond excited to go to Boston tomorrow#BostonMarathon #BostonStrong @nmleblanc @MicqueEllyn,['https://pbs.twimg.com/profile_images/1347730857486913538/6JLqf0d6_normal.jpg'],['No Video']
49,@MalakAbed,مــلاك عــابــد الثقفيMalak Abedalthagafi,Apr 20,"I am so proud to live in this city 
#BostonStrong 
We are ready to run tomorrow #BostonMarathon for our patients","['https://pbs.twimg.com/profile_images/1663110966400122880/OnDSWB0I_normal.jpg', 'https://pbs.twimg.com/media/BltBM1lIEAAeP8T.jpg']",['No Video']
50,@MSfromUS,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1670783684859908103/S3wNgWLw_normal.jpg', 'https://pbs.twimg.com/card_img/1731003426790674432/RpsSp_il.jpg']",['No Video']
51,@lacers02,Lacey Balliet,Apr 20,Goodluck to all runners @bostonmarathon @jhboston26 #BostonStrong #WeRunTogether,['https://pbs.twimg.com/profile_images/378800000810685127/25faea869cf98a4f6c3a61c4f89c6c9d_normal.jpeg'],['No Video']
52,@hol_stevens,Holly Stevens,Apr 20,I have goosebumps watching E60 on the Boston Marathon #BostonStrong,['https://pbs.twimg.com/profile_images/378800000230036280/625d89bf128c0e18af2b9125bb6f90ad_normal.jpeg'],['No Video']
53,@HelenFuThomas,Helen Fu Thomas,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/2722329809/0e1d0da9e5edc55f52251a361199c0b0_normal.jpeg', 'https://pbs.twimg.com/card_img/1731845570447466496/oN0iJtR9.jpg']",['No Video']
54,@Boston_Strong1,Boston Strong,Apr 20,New Inspirational Tribute Song For The Victims of The Boston Marathon Bombings #bostonstrong http://youtube.com/watch?v=Xs8zjokt-Cw… @Litzkrieg33,"['https://pbs.twimg.com/profile_images/461626122141061120/eduu8TuA_normal.png.jpg', 'https://pbs.twimg.com/card_img/1730542019775217664/u9djTN-7.jpg']",['No Video']
55,@drjordanmetzl,Jordan D,Apr 20,Best of luck to everyone running the @bostonmarathon tomorrow! May the wind be at your back! #run #BostonStrong,"['https://pbs.twimg.com/profile_images/378800000375910395/614ad1fb4913d9fac088dab6d19576cf_normal.jpeg', 'https://pbs.twimg.com/media/BltBHXEIEAA2SkR.jpg']",['No Video']
