,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@scalvin864,No Name,28-Mar,I'm so Ready for @MLB #OpeningDay and Ready to see The Best team In the Majors @RedSox #RedSoxNation #BostonStrong,['https://pbs.twimg.com/profile_images/1044134921722302466/f2rH0u_0_normal.jpg'],['No Video']
1,@dirtywaterdc,DIRTY WATER,28-Mar,#bigday @dirtywaterdc #bostonstrong #openingday #redsox battle for #1seed #bostonbruins $20… https://instagram.com/p/Bg4jdO1H1kq/,['https://pbs.twimg.com/profile_images/926128734993895424/kDVoA9bu_normal.jpg'],['No Video']
2,@djcos25,Dave Cosentino,28-Mar,Boston Strong #patriotsday #bostonmarathon #bostonmarathonbombing #bostonstrong… https://instagram.com/p/Bg4iL1CFa_H/,['https://pbs.twimg.com/profile_images/378800000707095111/2953310dfd40f6915ce90bcddb4d118e_normal.jpeg'],['No Video']
3,@MakDaRealist813,Marquise Anderson,28-Mar,Gonna miss tomorrow but I'll be there Friday. #BostonStrong,"['https://pbs.twimg.com/profile_images/1389225507414331393/UE2_6slW_normal.jpg', 'https://pbs.twimg.com/profile_images/1686191673733267456/hkl8LEBv_mini.jpg', 'https://pbs.twimg.com/media/DZZ26_gXUAMu3b9.jpg']",['No Video']
4,@YPNULEM,YPN ULEM,28-Mar,"This year’s Executive Leadership Awardee is our very own Parliamentarian, @ki_lioness_74! 
Early bird ends Sunday!
 https://ift.tt/2ISG7GP
#bostonbrunch #bostonstrong #ypnulem #ulem #awardsbrun h #bethemovement https://ift.tt/2Id3ji3","['https://pbs.twimg.com/profile_images/1147541894798422022/TSmUSXgd_normal.jpg', 'https://pbs.twimg.com/media/DZZ5v9FW0AEFmuX.jpg']",['No Video']
5,@danbullock,Dan B,28-Mar,"Watched Jake Gyllenhaal's #Stronger tonight, the story of Jeff Bauman's long road to recovery after the Boston Marathon bombing. Powerful, real, honest, respectful. Sean Bobbitt and David Gordon Green created a very special film. #BostonStrong",['https://pbs.twimg.com/profile_images/1284801517141319681/OISYNebA_normal.jpg'],['No Video']
6,@shoptemu,No Name,No Date,No Tweet Contents,['https://pbs.twimg.com/profile_images/1564497322855534592/6vUA-39x_normal.jpg'],['No Video']
7,@Bel_BostonLove,No Name,28-Mar,@NathanDBarnes @jhyett #DirtyWater #BostonStrong  Let’s play ball,"['https://pbs.twimg.com/profile_images/854092238652964864/kKZjKVGH_normal.jpg', 'https://pbs.twimg.com/profile_images/1715340699170660352/sU3NozxP_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/DZYDfuQV4AAoziW.jpg']",['https://pbs.twimg.com/tweet_video_thumb/DZYDfuQV4AAoziW.jpg']
8,@crankytimestuff,cranky time stuff,28-Mar,"One Boston day shirts, sweatshirts, mugs, many colors and sizes!
#Boston #BostonStrong
https://teespring.com/stores/1-boston-day…","['https://pbs.twimg.com/profile_images/977617108044537856/sQbn2TpL_normal.jpg', 'https://pbs.twimg.com/media/DZYh-SeV4AAWIKT.jpg']",['No Video']
9,@DanielBombero11,daniel ciccone,28-Mar,#bostonstrong #samadams charity is a focal point of the Boston… https://instagram.com/p/Bg3pWmLDy--CYzG2UNbBCfh-RKrUDzzU56kXwU0/…,['https://pbs.twimg.com/profile_images/1028312118892867584/jpG231Sr_normal.jpg'],['No Video']
