,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@miltonbst1,Milton C,14-Apr,This is how we do in NE!!! Let's get ready for #BostonStrong @bostonmarathon 2019!!!@Hope_Chapman @Reyes_Att @sccrchrs23 @TheRealOurNE @ME_EastRegion @WilliamGStovall @MobileEventsNE,"['https://pbs.twimg.com/profile_images/1044954402182889472/k8JpY7vm_normal.jpg', 'https://pbs.twimg.com/media/D4JtxyEXkAEvVWU.jpg']",['No Video']
1,@LCCK9Lydia,Lydia comfort Dog,14-Apr,Pre Marathon weekend ! Meeting folks and getting psyched for the big race tomorrow!! BOSTON STRONG!! #bostonstrong #marathon #elitewomen #5k #k9comfortdogs #comfortdogs https://instagram.com/p/BwQUgc2lbzk/?utm_source=ig_twitter_share&igshid=1mqqdbk6mg0jy…,['https://pbs.twimg.com/profile_images/629359065378988032/puKhukNr_normal.jpg'],['No Video']
2,@BolavipBR,Bolavip Brasil,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1253702876301492225/rF_U9OkV_normal.png.jpg', 'https://pbs.twimg.com/media/GAINctxbsAASgVG.jpg']",['No Video']
3,@rundiabetes,Stephen England,14-Apr,#BostonMarathon is Coming!  Good luck to everyone running and cheering the most prestigious marathon of them all from Hopkinton to Boston. My goal? A 3-digit bib aka run faster!!! Enjoy every single step and show the  #WhatsPossible! #ChangingDiabetes #BostonStrong,"['https://pbs.twimg.com/profile_images/1489444214995927041/w8-2V8CB_normal.jpg', 'https://pbs.twimg.com/media/D4JsLu8W0AICEwv.jpg']",['No Video']
4,@PublicTransitJB,Joshua Brown,14-Apr,Day 3 of working the 1st Annual @bostonmarathon #FanFest. #BostonStrong https://pscp.tv/w/b4N_fjFsWkVwb0dXVmdZam58MXJteFBlWk9aRFpLTvQ-GNhYs2cng3hO0b8FpVLhwH-rsbzmdWZoEs8-P8wb…,['https://pbs.twimg.com/profile_images/1216805807188213762/cgmmJhf0_normal.jpg'],['No Video']
5,@racedots,No Name,14-Apr,Thank you runners for another fantastic year at @bostonmarathon expo!! Good luck tomorrow and run #BostonStrong,"['https://pbs.twimg.com/profile_images/1665752472080580609/54HUyhaM_normal.jpg', 'https://pbs.twimg.com/media/D4Jr0KOWkAEDmLp.jpg']",['No Video']
6,@Pingviners_n,Angela Grant,14-Apr,"Thankful every year for being out of harms way. It is also a reminder than no one, absolutely no one mess with Boston. 
#BostonStrong #OneBostonDay #Boston","['https://pbs.twimg.com/profile_images/1430553525092855810/_E1y1_3H_normal.jpg', 'https://pbs.twimg.com/media/D4JnDTeWwAIttvT.jpg']",['No Video']
7,@simpleappofcl,Simple App,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1285118635221102598/3Vyx7bv__normal.jpg', 'https://pbs.twimg.com/media/F_iT5OpXIAA9Hds.jpg']",['No Video']
8,@mbfxc,Marialice B,14-Apr,"In honor of the best day in Boston tomorrow, #MarathonMonday this seems to say it all: https://youtu.be/Xm3HU5f3vzQ #BostonMarathon #BostonStrong",['https://pbs.twimg.com/profile_images/1625262621015375872/GqnYYBrA_normal.jpg'],['No Video']
9,@revjmg22,Jeff Gallagher,14-Apr,So awesome! Congratulations! #BostonStrong,['https://pbs.twimg.com/profile_images/1431694940401246209/5ZEnasuf_normal.jpg'],['No Video']
10,@OlivianaCouture,No Name,14-Apr,Tag a Celtics fan  #celtics #cusrise #goceltics #bostonceltics #bostonstrong #nba #nbaplayoffs https://etsy.me/2Goxxk4,"['https://pbs.twimg.com/profile_images/1294286650328133638/Vhj3UqX5_normal.jpg', 'https://pbs.twimg.com/media/D4JWtqkWAAYKLdY.jpg']",['No Video']
11,@kathyrich_,No Name,14-Apr,Beautiful display of #daffodils #BostonStrong #BostonMarathon2019 #northend,"['https://pbs.twimg.com/profile_images/498172354028380160/mVF3cqDm_normal.jpeg', 'https://pbs.twimg.com/media/D4JWiNUWwAASQBJ.jpg']",['No Video']
12,@Lil_Kym,Miss Kym,14-Apr,Have a great run in Boston tomorrow! #BostonStrong,"['https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png.jpg', 'https://pbs.twimg.com/media/D4JUHaAWAAEmQY1.jpg']",['No Video']
13,@Julian91911,No Name,14-Apr,"Good luck to all the RUNNAHS!
#BostonMarathon2019 #BostonStrong",['https://pbs.twimg.com/profile_images/881581119187111936/RDC7-dZL_normal.jpg'],['No Video']
14,@TheShaneOMac24,Shane McCarthy,14-Apr,My favorite racer ever in my neighborhood! Good luck @JimmieJohnson Weather doesn’t look friendly but I’m sure you’ll feed off that #BostonStrong energy!,['https://pbs.twimg.com/profile_images/1709711109446344704/mn6EJQSs_normal.jpg'],['No Video']
