,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@MJMConsulting1,MJM Consulting,Apr 14,Celebrating our strong community tomorrow. #BostonStrong #proudofmyroots,['https://pbs.twimg.com/profile_images/456479761003343873/2uxanq3__normal.jpeg'],['No Video']
1,@lindsgoss,Lindsie Goss,Apr 14,It's hard to believe the Boston Bombings took place nearly a year ago.  #Bostonstrong,['https://pbs.twimg.com/profile_images/378800000744137873/d72b396ecd612e353706caf3a517d581_normal.jpeg'],['No Video']
2,@ActionNetworkHQ,Action Network,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1384641200603414530/Nq9iTLIE_normal.jpg', 'https://pbs.twimg.com/media/GAwoJo3WUAAmbM_.jpg']",['No Video']
3,@Nov_ProjectSD,November Project SD,Apr 14,Feeling #BostonStrong. This week's #freefitness workout will be all about #LoveBoston and #community. See you there.,"['https://pbs.twimg.com/profile_images/378800000642392782/189ebc178b09d494dfdc55cb12bb6e97_normal.jpeg', 'https://pbs.twimg.com/media/BlOITQRCcAAE-Q6.jpg']",['No Video']
4,@adriennelj,No Name,Apr 14,Photo: Getting ready for the #BostonMarathon #Boston #bostonstrong I  my city!! http://tmblr.co/ZT8WQy1D3W81d,['https://pbs.twimg.com/profile_images/1365708350810251264/wTsQlDCF_normal.png.jpg'],['No Video']
5,@adriennelj,No Name,Apr 14,Getting ready for the #BostonMarathon #Boston #bostonstrong I  my city!! http://instagram.com/p/myh9wryBQp/,['https://pbs.twimg.com/profile_images/1365708350810251264/wTsQlDCF_normal.png.jpg'],['No Video']
6,@____Brooksy____,Jordan Brooks,Apr 14,“@DibJosh: “@OnlyInBOS: 7 days until #WeRunTogether - #BostonStrong ” it'll be a blast!!!” Kill yourself you bitch.,"['https://pbs.twimg.com/profile_images/1699278020308078593/c40KaNwG_normal.jpg', 'https://pbs.twimg.com/media/BlLDnJVCEAE71cV.jpg']",['No Video']
7,@NobleGoldIRA,Noble Gold Investments,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1706775084101451776/zNNjrkQS_normal.jpg', 'https://pbs.twimg.com/media/FrH6hQpXsAIFdic.jpg']",['No Video']
8,@TaxRise,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1304459737442914305/0-z358MN_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1618740539951845377/img/An7w16V84cHbu0eg.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1618740539951845377/img/An7w16V84cHbu0eg.jpg']
9,@WinthropStuco,Winthrop Stuco,Apr 14,"Mandatory 7am mtg for current EBoard & all new candidates! Also, it's #BostonStrong Day-please wear Boston gear to show your support!",['https://pbs.twimg.com/profile_images/646009670180708352/El7h0HfU_normal.jpg'],['No Video']
10,@SirRichardWad,Kenny Brown,Apr 14,"This urinal is the man!
#BostonStrong #McGreeveys","['https://pbs.twimg.com/profile_images/1632848820/v_normal.jpg', 'https://pbs.twimg.com/media/BlOHKdRCAAE3oga.jpg']",['No Video']
11,@CherInLife,No Name,Apr 14,Before we get all wrapped up in #DisneyWeek on @DancingABC let's take a minute to honor & remember the people of Boston. ;-)  #BostonStrong,['https://pbs.twimg.com/profile_images/1268630500031311878/ohFPvOc9_normal.jpg'],['No Video']
12,@Autismville,Judith U,Apr 14,"One week from today, we will run..  http://crowdrise.com/Nashoba2014BostonMarathon/fundraiser/judithursitti… #wewillrun #BostonStrong",['https://pbs.twimg.com/profile_images/445810551/twitterProfilePhoto_normal.jpg'],['No Video']
13,@liannesanderson,Lianne Sanderson,Apr 14,Finally made it back to Boston  #BostonStrong,['https://pbs.twimg.com/profile_images/1666571023473410049/LN_96vqV_normal.jpg'],['No Video']
14,@MarissaRCrouse,Marissa Crouse,Apr 14,Just walked by the Boston Marathon finish line #bostonstrong,"['https://pbs.twimg.com/profile_images/1020715452635537408/jmlI3uNt_normal.jpg', 'https://pbs.twimg.com/media/BlOGPxXIEAAQohI.jpg']",['No Video']
15,@advencap,Sachi Blue,Apr 14,Please observe a moment of silence or reflection tomorrow at 11:49 AM PT. #BostonStrong,['https://pbs.twimg.com/profile_images/1440732549966286859/3O9JdiEq_normal.jpg'],['No Video']
16,@TWMTWO,No Name,Apr 14,"Please share. April 15th, 2013 #NeverForget #BostonStrong #BostonMarathon @DonnieWahlberg","['https://pbs.twimg.com/profile_images/553048771378937856/d82qq8-t_normal.png.jpg', 'https://pbs.twimg.com/media/BlOFjbOCMAAJ6NL.jpg']",['No Video']
17,@MasroorSajid,Masroor A,Apr 14,@AyannaPressley inspiring speech at Boston City Hall support #BostonStrong #BostonMarathon,"['https://pbs.twimg.com/profile_images/909240381476364288/CRb1A0F5_normal.jpg', 'https://pbs.twimg.com/media/BlOFXgGIMAAqhFB.jpg']",['No Video']
18,@StephanieLWells,Stephanie Wells,Apr 14,@bostonmarathon almost here! @PenelopeHauck is preparing to run as #MEFAteam cheers on! #BostonStrong #WeRunTogether,"['https://pbs.twimg.com/profile_images/492133260189659137/3PnXsEgj_normal.jpeg', 'https://pbs.twimg.com/media/BlOFWoYIQAAFRUt.jpg']",['No Video']
19,@dreamsingles_,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1337518113873661955/mp010gqA_normal.jpg', 'https://pbs.twimg.com/media/F_Fn8ivW8AEj-p3.jpg', 'https://pbs.twimg.com/media/F_Fn5XMWsAAloml.jpg', 'https://pbs.twimg.com/media/F_Fn--HWAAAEfA1.jpg', 'https://pbs.twimg.com/media/F_FoCHyWAAAk4r1.jpg']",['No Video']
20,@TaxRise,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1304459737442914305/0-z358MN_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1683544893703225344/img/WFYiz7joYTxJv0yG.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1683544893703225344/img/WFYiz7joYTxJv0yG.jpg']
21,@L_Tucks,Leslie Tucker Miller,Apr 14,Producing a segment on @theknot's Dream Wedding for Boston Bombing Marathon survivors - tune in to @NewDay tmrw. GREAT story! #BostonStrong,['https://pbs.twimg.com/profile_images/755686250544140288/kuUD4-Xw_normal.jpg'],['No Video']
22,@NTXZO,No Name,Apr 14,Tomorrow for those who stood up to unspeakable tragedy and injustice. They ran into the fire. For them. For each other. #JFT96 #BostonStrong,['https://pbs.twimg.com/profile_images/1693129896472846336/vLIsWHof_normal.jpg'],['No Video']
