,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@Alexafied_,No Name,Apr 20,That Boston Marathon Live Snap Story was very inspiring. #BostonStrong,['https://pbs.twimg.com/profile_images/1628049740859338755/zcY8OdNh_normal.jpg'],['No Video']
1,@bjoms,Brandon Jominy,Apr 20,I have never experienced a better feeling in running than turning left on Boylston! #BostonMarathon #BostonStrong,['https://pbs.twimg.com/profile_images/1566840937757769730/yVIqKZ6G_normal.jpg'],['No Video']
2,@vyvivastore,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1722279019926712320/i0bRIXLp_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1728142177866305536/img/n_5s2L_SB76mzHg3.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1728142177866305536/img/n_5s2L_SB76mzHg3.jpg']
3,@Paul_Atkins,Paul Atkins,Apr 20,"Some of the #BostonMarathon tweets are just amazing! #BostonStrong
#Inspiration
",['https://pbs.twimg.com/profile_images/1299010386117701633/ociih3KY_normal.jpg'],['No Video']
4,@msmeranda,Meranda S,Apr 20,Later tonight this man will be #running the @bostonmarathon course all by himself http://tinyurl.com/m8oa7ng #Cheerboston #BostonStrong,['https://pbs.twimg.com/profile_images/762111773709303808/2Kmc9ZJB_normal.jpg'],['No Video']
5,@TrellisWare,No Name,Apr 20,We got to support the 2015 Boston Marathon again with our Tactical Scalable MANET! #BostonStrong #SecureComms,"['https://pbs.twimg.com/profile_images/2208057238/Trellis2_normal.jpg', 'https://pbs.twimg.com/media/CDEt3_SVIAATKyp.jpg']",['No Video']
6,@PlayTPC,TPC Network,Apr 20,"Congrats to @tpclv employee, Nicole Tassone on finishing the #BostonMarathon today! #BostonStrong","['https://pbs.twimg.com/profile_images/1348735126692368386/e27BDl2x_normal.jpg', 'https://pbs.twimg.com/media/CDEt1g-UIAA6z86.jpg']",['No Video']
7,@RDShoulder,Ruth Delaney,Apr 20,"Missing Boston today,wish I was there for #MarathonMonday.Congrats to all runners! #bostonstrong #runformgh #RebekahStrong #togetherwefinish",['https://pbs.twimg.com/profile_images/1382812389041696770/ugMLVwci_normal.jpg'],['No Video']
8,@YourNewsTweet,No Name,Apr 20,#YourNewsTweet -  The Short List: Crisis in the Mediterranean; #BostonStrong; spaceship to slam Mercury http://dlvr.it/9TV8H7,['https://pbs.twimg.com/profile_images/1560959975/YourNewsTweet_normal.jpg'],['No Video']
9,@allyson_cooper,No Name,Apr 20,I'm just watching the #BostonMarathon and I'm exhausted. #BostonStrong #TampaWeak,['https://pbs.twimg.com/profile_images/743843567047696389/D2kaQoid_normal.jpg'],['No Video']
10,@cumberlandb1,No Name,Apr 20,"GO, DAVE!!!!  So proud of this latest accomplishment! #BostonStrong #BekkerStrong #GoWo","['https://pbs.twimg.com/profile_images/510886507968618496/osbIGff3_normal.jpeg', 'https://pbs.twimg.com/profile_images/519654740393607169/9ZtslkFs_mini.jpeg', 'https://pbs.twimg.com/media/CDEe28fWEAA_ZoP.jpg']",['No Video']
11,@EliteTraderFund,Elite Trader Funding,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1470160679114092556/JPeFi8H0_normal.jpg', 'https://pbs.twimg.com/media/GAhLcmYXMBQQoRo.jpg']",['No Video']
