,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@AKoldy,No Name,Mar 31,This is the best thing I've ever seen. #bleedgreen #bostonstrong #celtics,['https://pbs.twimg.com/profile_images/998979665443241984/XsddmO6n_normal.jpg'],['No Video']
1,@C_Money76,Carmine Intrieri,Mar 31,"Game time!!! #letsgoceltics #bostonstrong 
Going out for drinks… https://instagram.com/p/BSUkdBsAdJAzmv9pqcFfPfw8KS8sxxeG5oA9ak0/…",['https://pbs.twimg.com/profile_images/378800000421715547/fa075af2e95de2949b09866bd7c911e2_normal.jpeg'],['No Video']
2,@Shopping_Tools,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1653783944603615236/IPIzXTSl_normal.jpg', 'https://pbs.twimg.com/media/F9SsogaXgAES5uB.jpg']",['No Video']
3,@its_bronson_lee,Then Came Bronson,Mar 31,A little training motivation from my friends @nbrunning.   #RunBoston #BostonStrong #Zante @… https://instagram.com/p/BSUhx_rBZve/,['https://pbs.twimg.com/profile_images/935164039885414400/qqehirfQ_normal.jpg'],['No Video']
4,@logicalIndian91,The Logical Indian,Mar 31,At least that would help slightly disguise the fact that the #MBTA doesn't care about me or my ride home #bostonstrong,['https://pbs.twimg.com/profile_images/824823287389753344/LMAbFHEd_normal.jpg'],['No Video']
5,@GoodYvenin,Yvenin Entertainment,Mar 31,Yvenin Entertainment- Moves...The CEoOOOOOOO!! #boston #bostonstrong #inklife #420 #420girls #patriotsnation... http://fb.me/6g5lxO3CQ,['https://pbs.twimg.com/profile_images/780935726821154816/id-E77nH_normal.jpg'],['No Video']
6,@MovesCEO,No Name,Mar 31,Y.E - We are not from this planet!! We out of this world! #newmusic #bostonstrong #boston #420… https://instagram.com/p/BSPxAfxA9QH/,['https://pbs.twimg.com/profile_images/1336744588069974024/0FWg7ych_normal.jpg'],['No Video']
7,@MyLootLocker,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1582674997322993664/B-VgeKjm_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1714935824301924352/img/hD5MRLRwnfnXDCKe.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1714935824301924352/img/hD5MRLRwnfnXDCKe.jpg']
8,@LittleMeg_xo,No Name,Mar 31,"Just watched Patriots Day, one word.. Wow!! What a film!! #PatriotsDay #bostonstrong ",['https://pbs.twimg.com/profile_images/869207022876721153/WOTV07xf_normal.jpg'],['No Video']
9,@TheGentlemanBP,Brian Pires,Mar 31,Man I miss football season already #patsnation #TB12 ##NewEnglandPride #BostonStrong https://instagram.com/p/BSUYNh5AV3O/,['https://pbs.twimg.com/profile_images/978928932840931328/83KTdWdB_normal.jpg'],['No Video']
10,@TheBruinsFans,Boston Bruins Fans,Mar 31,"Bruins goalie Tuukka Rask will start Saturday, which makes all the sense in the world http://network.yardbarker.com/nhl/article_external/bruins_goalie_tuukka_rask_will_start_saturday_which_makes_all_the_sense_in_the_world/s1_13876_23603119… #BostonStrong",['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg'],['No Video']
11,@laurak2785,Laura F,Mar 31,@imcorinnemec got a movie to suggest to you. Patriots Day. It's really sad. Also based on a true story. #BostonStrong ,['https://pbs.twimg.com/profile_images/1721717563275554816/nldVsI3-_normal.jpg'],['No Video']
12,@Stacy_SemperFi,No Name,Mar 31,@patriotsdayfilm  #BostonStrong #Respect what a movie ! No word can describe my emotions while watching it ,['https://pbs.twimg.com/profile_images/1690421075274764290/Vm9LTREg_normal.jpg'],['No Video']
13,@TheBruinsFans,Boston Bruins Fans,Mar 31,"Bruins forwards Tim Schaller, Frank Vatrano will miss both games this weekend http://network.yardbarker.com/nhl/article_external/bruins_forwards_tim_schaller_frank_vatrano_will_miss_both_games_this_weekend/s1_13876_23602660… #BostonStrong",['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg'],['No Video']
14,@lukejames423,Luke James,Mar 31,Just finished @patriotsdayfilm #BostonStrong,['https://pbs.twimg.com/profile_images/1524028334245654540/1jnhVoFR_normal.jpg'],['No Video']
15,@Dasher2019,No Name,Mar 31,Stop the violence #BostonStrong @sparks_skylar @AustinHertel6 @kayla_915 @KarliRigby #kodak ,['https://pbs.twimg.com/profile_images/1582225613745979393/dxEvqCgK_normal.jpg'],['No Video']
16,@VidaResist,No Name,Mar 31,I am proud to be a Bostonian thanks @marty_walsh #BostonStrong https://twitter.com/KevinDarryl/status/847871414652870656…,['https://pbs.twimg.com/profile_images/1105670047287136256/fTAXoxir_normal.jpg'],['No Video']
17,@feministlib,anna j,Mar 31,Now that is a #BostonStrong message I can get behind.,"['https://pbs.twimg.com/profile_images/1595443453906722817/gyg-khai_normal.png.jpg', 'https://pbs.twimg.com/profile_images/1185197516985425920/yo3Cw5wy_mini.jpg', 'https://pbs.twimg.com/media/C8QY-f3XkAA-2p8.jpg']",['No Video']
18,@lomo2396,No Name,Mar 31,Patriots day is such a good movie.  #BostonStrong,['https://pbs.twimg.com/profile_images/1710141992699678720/QU1YoUcO_normal.jpg'],['No Video']
19,@Desamot,Darley Desamot,Mar 31,"Dreams come true to those who pursue.
#DarleyDesamot #TheTsSilent #ManOfTheHour #BostonStrong
@RealKingRegal @NXTMattBloom @WWE @WWENXT","['https://pbs.twimg.com/profile_images/1375787831365414912/khaabE2K_normal.jpg', 'https://pbs.twimg.com/media/C8QnkMmVYAEl6te.jpg']",['No Video']
20,@TheBruinsFans,Boston Bruins Fans,Mar 31,"Bruins forwards Tim Schaller, Frank Vatrano will miss both games this weekend http://network.yardbarker.com/nhl/article_external/bruins_forwards_tim_schaller_frank_vatrano_will_miss_both_games_this_weekend/s1_13876_23602660… #BostonStrong",['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg'],['No Video']
21,@lukejames423,Luke James,Mar 31,Just finished @patriotsdayfilm #BostonStrong,['https://pbs.twimg.com/profile_images/1524028334245654540/1jnhVoFR_normal.jpg'],['No Video']
22,@Dasher2019,No Name,Mar 31,Stop the violence #BostonStrong @sparks_skylar @AustinHertel6 @kayla_915 @KarliRigby #kodak ,['https://pbs.twimg.com/profile_images/1582225613745979393/dxEvqCgK_normal.jpg'],['No Video']
23,@VidaResist,No Name,Mar 31,I am proud to be a Bostonian thanks @marty_walsh #BostonStrong https://twitter.com/KevinDarryl/status/847871414652870656…,['https://pbs.twimg.com/profile_images/1105670047287136256/fTAXoxir_normal.jpg'],['No Video']
24,@feministlib,anna j,Mar 31,Now that is a #BostonStrong message I can get behind.,"['https://pbs.twimg.com/profile_images/1595443453906722817/gyg-khai_normal.png.jpg', 'https://pbs.twimg.com/profile_images/1185197516985425920/yo3Cw5wy_mini.jpg', 'https://pbs.twimg.com/media/C8QY-f3XkAA-2p8.jpg']",['No Video']
25,@lomo2396,No Name,Mar 31,Patriots day is such a good movie.  #BostonStrong,['https://pbs.twimg.com/profile_images/1710141992699678720/QU1YoUcO_normal.jpg'],['No Video']
26,@Desamot,Darley Desamot,Mar 31,"Dreams come true to those who pursue.
#DarleyDesamot #TheTsSilent #ManOfTheHour #BostonStrong
@RealKingRegal @NXTMattBloom @WWE @WWENXT","['https://pbs.twimg.com/profile_images/1375787831365414912/khaabE2K_normal.jpg', 'https://pbs.twimg.com/media/C8QnkMmVYAEl6te.jpg']",['No Video']
27,@TheBruinsFans,Boston Bruins Fans,Mar 31,Boston Bruins: Making a Case for the Stanley Cup http://network.yardbarker.com/nhl/article_external/boston_bruins_making_a_case_for_the_stanley_cup/s1_8864_23600911… #BostonStrong,"['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg', 'https://pbs.twimg.com/media/C8Qm27WXgAEhebG.jpg']",['No Video']
28,@preparedex,No Name,Mar 31,This should be a great crisis #leadership panel discussion at #ICMC2017 #BostonStrong #Preparedness https://lnkd.in/d-Ebzwr,['https://pbs.twimg.com/profile_images/463653609188495360/6yqJSPho_normal.jpeg'],['No Video']
29,@CrisisCons,The International Crisis Management Conference,Mar 31,Will we see you in #Boston next week? #ICMC2017 #BostonStrong #Preparedness,"['https://pbs.twimg.com/profile_images/687809434173718529/x3EySyNM_normal.png.jpg', 'https://pbs.twimg.com/media/C8QgYUGWAAIcMdK.jpg']",['No Video']
30,@KellerOfCapsule,Aaron Keller,Mar 31,One of the many iconic places in @CityOfBoston >> thx @MikesPastry for the treats. #foodie #BostonStrong,"['https://pbs.twimg.com/profile_images/1604232776504549376/aqVlDVMs_normal.jpg', 'https://pbs.twimg.com/media/C8QUYwTUwAEMZ8K.jpg']",['No Video']
31,@brm90,Bruce RThe Hired Pen,Mar 31,"@BGCDorchester this AM, lending a hand to @TheSandyGround build a playground in memory of Victoria McGrath. #BostonStrong @BGCB_Boston","['https://pbs.twimg.com/profile_images/1724138078808293376/6p7ZoChO_normal.jpg', 'https://pbs.twimg.com/media/C8QUZdkUMAE2scw.jpg']",['No Video']
32,@TheBruinsFans,Boston Bruins Fans,Mar 31,"Bruins show they’re back to normal, criticize quality of win over Stars http://network.yardbarker.com/nhl/article_external/bruins_show_theyre_back_to_normal_criticize_quality_of_win_over_stars/s1_13876_23598943… #BostonStrong",['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg'],['No Video']
33,@TawnyaAnn,Ann Graef,Mar 31,Thank you @mark_wahlberg for #patriotsday. Gave me chills and tears but made me dang proud. #BostonStrong,['https://pbs.twimg.com/profile_images/812771381750296576/Kv8P-Tem_normal.jpg'],['No Video']
34,@SeeUL8trCollins,Courtney Collins,Mar 31,Loving me some Boston right now. What a beautiful way to pay tribute! Thank you Peter Berg & @mark_wahlberg #BostonStrong #PatriotsDay,['https://pbs.twimg.com/profile_images/1287956655439659009/rCxzMX28_normal.jpg'],['No Video']
35,@joybling,tricia burns,Mar 31,No spring storm please #peace #BostonStrong,"['https://pbs.twimg.com/profile_images/890637363088691206/M38q1L8i_normal.jpg', 'https://pbs.twimg.com/media/C8ORcBGVoAAP7Xo.jpg']",['No Video']
36,@RosnerAlicia,No Name,Mar 31,"Just watched Patriots Day and wow, so so emotional. #BostonStrong ",['https://pbs.twimg.com/profile_images/1662468626169954306/O1tNXb2C_normal.jpg'],['No Video']
37,@Ryan_B93,Ryan benoit,Mar 31,23 years later... still loyal. #RedSoxNation #RedSox #boston #BostonStrong,"['https://pbs.twimg.com/profile_images/1710579472380923904/orAYdbCs_normal.jpg', 'https://pbs.twimg.com/media/C8OFOxnUwAERQbK.jpg']",['No Video']
38,@KristineHubbard,Kristine Hubbard,Mar 31,Saw the trailer at @TIFF_NET w/ @mark_wahlberg. Saw the @patriotsdayfilm just now. Everything I thought it would be.Well done. #BostonStrong,['https://pbs.twimg.com/profile_images/1460449223976103941/HsE4u1p3_normal.jpg'],['No Video']
39,@TheBruinsFans,Boston Bruins Fans,Mar 31,Charlie McAvoy “Really Excited” To Begin Journey To NHL With Providence Bruins http://network.yardbarker.com/nhl/article_external/charlie_mcavoy_really_excited_to_begin_journey_to_nhl_with_providence_bruins/s1_8626_23597971… #BostonStrong,"['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg', 'https://pbs.twimg.com/media/C8OBhhNVYAIu21o.jpg']",['No Video']
40,@reebzlloyd,No Name,Mar 30,Just finished #PatriotsDay. Incredible.  #BostonStrong #neverforget,['https://pbs.twimg.com/profile_images/1116561503581171712/04QVtRx__normal.jpg'],['No Video']
41,@Will_Acosta_,Will Acosta,Mar 30,If you haven't seen @patriotsdayfilm you need to ASAP! #BostonStrong ,['https://pbs.twimg.com/profile_images/1663378228252229634/Yqxlyesj_normal.jpg'],['No Video']
42,@BlueHenRachel,Rachel Pepe,Mar 30,If anyone hasn't seen the movie patriots day - ITS A MUST #BostonStrong,['https://pbs.twimg.com/profile_images/730591692051611648/qX2k-fXw_normal.jpg'],['No Video']
