Unnamed: 0,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
2454,@revjmg22,Jeff Gallagher,14-Apr,So awesome! Congratulations! #BostonStrong,https://pbs.twimg.com/profile_images/1431694940401246209/5ZEnasuf_normal.jpg,No Video
2455,@OlivianaCouture,No Name,14-Apr,Tag a Celtics fan  #celtics #cusrise #goceltics #bostonceltics #bostonstrong #nba #nbaplayoffs https://etsy.me/2Goxxk4,https://pbs.twimg.com/profile_images/1294286650328133638/Vhj3UqX5_normal.jpg,No Video
2456,@kathyrich_,No Name,14-Apr,Beautiful display of #daffodils #BostonStrong #BostonMarathon2019 #northend,https://pbs.twimg.com/profile_images/498172354028380160/mVF3cqDm_normal.jpeg,No Video
2457,@Lil_Kym,Miss Kym,14-Apr,Have a great run in Boston tomorrow! #BostonStrong,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png.jpg,No Video
2458,@Julian91911,No Name,14-Apr,"Good luck to all the RUNNAHS!
#BostonMarathon2019 #BostonStrong",https://pbs.twimg.com/profile_images/881581119187111936/RDC7-dZL_normal.jpg,No Video
2459,@TheShaneOMac24,Shane McCarthy,14-Apr,My favorite racer ever in my neighborhood! Good luck @JimmieJohnson Weather doesn’t look friendly but I’m sure you’ll feed off that #BostonStrong energy!,https://pbs.twimg.com/profile_images/1709711109446344704/mn6EJQSs_normal.jpg,No Video
2460,@MITSwimDive,MIT Swim,14-Apr,On the eve of one of the greatest days in Boston every year we want to wish everyone running the Boston Marathon tomorrow good luck!  #bostonmarathon2019 #bostonstrong,https://pbs.twimg.com/profile_images/499951040897114115/ahIdEYS3_normal.jpeg,No Video
2461,@afoulds1984,Amanda L,14-Apr,Another BAA Info Booth volunteer stint on the books!  Good luck to everyone running tomorrow!  #BostonStrong    @ Copley Square https://instagram.com/afoulds1984/p/BwQFvKWgUHL/?utm_source=ig_twitter_share&igshid=3le030ha23co…,https://pbs.twimg.com/profile_images/1659044371382009856/kx4XiRSh_normal.jpg,No Video
2462,@minawageh1,Mina Wageh,14-Apr,"All set!!
Ready for tomorrow,  15 more hours to go!
For tracking bib num 5199 
We got this,  Thanks for all the messages and support.  
#MinaForBoston #bostonstrong #bostonmarathon #egypt — in Boston https://facebook.com/mina.wageh1/posts/10156532261742739…",https://pbs.twimg.com/profile_images/1266008219861897216/4v3YIcJ__normal.jpg,No Video
2463,@halfcrazymama,Emelia Cellura,14-Apr,Good luck to everyone running the @bostonmarathon tomorrow! May the wind be at your back and the beer at the finish line be cold.  #BostonMarathon2019 #BostonStrong,https://pbs.twimg.com/profile_images/725733283326099456/2baU55l1_normal.jpg,No Video
2464,@poetwithpace,Donato Train,14-Apr,"Whatever the weather, you’ve done the hard work for @bostonmarathon 
https://youtu.be/yEd51Go9wPA
#BostonMarathon2019 #BostonStrong",https://pbs.twimg.com/profile_images/1641770212528717826/FkhHU9E4_normal.jpg,No Video
