,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@michellelewis,Michelle Lewis,Apr 11,"The @bostonmarathon is coming up in one week! These brass cuffs make a great #finishline gift, grab one for someone you love 
#bostonmarathon #patriotsday #runrunrun #bostonstrong #boston","['https://pbs.twimg.com/profile_images/1029593872706334720/0sUcCv55_normal.jpg', 'https://pbs.twimg.com/card_img/1729056795975651328/sphSda8q.jpg']",['No Video']
1,@alzheimersmanh,Alzheimers AssociationNH Chapter,Apr 11,"Only 1 week until Team End ALZ takes on #26point2 to #ENDALZ! Help us cheer on Brinton Dekreon as he runs the Boston Marathon in honor of his dad 

Visit http://givengain.com/cc/teamendalzboston2022… to learn more and to support this year's Boston Marathon team! 
#ENDALZ #26point2 #BostonStrong","['https://pbs.twimg.com/profile_images/1141000120089153536/DqZM7bba_normal.jpg', 'https://pbs.twimg.com/media/FQF4DHlXMAIY8zP.jpg']",['No Video']
2,@wixvy_co,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1688830096751386624/YpWP0kFZ_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1701863900411510784/img/ikGGBtd2nO0tfKdR.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1701863900411510784/img/ikGGBtd2nO0tfKdR.jpg']
3,@DisclosurePod,Total Disclosure,Apr 11,"Not many remember that day that seems so long ago, but I do. Right around the corner from our @Saatva location they are getting ready for the #BostonMarathon2022. Never forget, I’m standing at the site of a horror. #BostonStrong","['https://pbs.twimg.com/profile_images/1638330361544310785/w6y58BsE_normal.jpg', 'https://pbs.twimg.com/media/FQF2co5WYAUh1iv.jpg', 'https://pbs.twimg.com/media/FQF2co8XwAAeltO.jpg', 'https://pbs.twimg.com/media/FQF2co2XwAUvL3l.jpg', 'https://pbs.twimg.com/media/FQF2co4XIAcuSD_.jpg']",['No Video']
4,@TheLansdowne,Lansdowne Pub,Apr 11,Nothing better than live music from @beachnightsband on Marathon Monday    We'll be open all day 8AM-2AM! #LansdownePub #BostonStrong #MarathonMonday #LiveMusic,"['https://pbs.twimg.com/profile_images/3349844556/8a5ff3bbc832de898e0b8bcbbcf2176a_normal.jpeg', 'https://pbs.twimg.com/media/FQFlQo-WUAoB86n.jpg']",['No Video']
5,@ronnieisrunning,Ron McCracken,Apr 11,"https://youtu.be/_kQPBJJhHtU
The #BostonMarathon is one week from today! 35 months and 4 days of #sobriety and 92 days of #running #bostonstrong #mentalhealth #SuicidePrevention #PTSD #recovery @Conventures @BostonGlobe @WBZmarathon @bostonherald @DropkickMurphys @NAMIBoston @BAA","['https://pbs.twimg.com/profile_images/860939233879613440/q8-xzEDG_normal.jpg', 'https://pbs.twimg.com/card_img/1727200668249710592/9U_5PEAO.jpg']",['No Video']
6,@deadsiox9,bobby orderve,Apr 11,Never Mind the bullies and bots. Great job mayor. #BostonStrong,['https://pbs.twimg.com/profile_images/378800000537133348/bea69be009a96ed1d77d10e5a9b66ed1_normal.jpeg'],['No Video']
7,@LeahDaniellee,Leah Langston,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1712702876185755648/qBDG8D9H_normal.jpg', 'https://pbs.twimg.com/media/F_tlLWgWcAE9i-e.jpg']",['No Video']
8,@ChartExpo_,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1644226121976672256/WK-_iT-e_normal.jpg', 'https://pbs.twimg.com/media/F9bdQi0bAAAGrQs.jpg']",['No Video']
9,@seacoastrunner,Alison Black,Apr 10,YES!!!! @tiffanifaison to the semifinals!!! #TournamentOfChampions @FoodNetwork #bostonstrong #fierce,['https://pbs.twimg.com/profile_images/1507474874075435009/meeqXWGM_normal.jpg'],['No Video']
10,@ugkpimpc_4ever,No Name,Apr 10,Not a damn mfering one #BostonStrong,"['https://pbs.twimg.com/profile_images/1634733363570397186/wacaYorV_normal.jpg', 'https://pbs.twimg.com/profile_images/1669507059245629447/dv4j0nZR_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1511716974279200769/pu/img/ti3F5104P8oesqGQ.jpg']",['https://pbs.twimg.com/ext_tw_video_thumb/1511716974279200769/pu/img/ti3F5104P8oesqGQ.jpg']
11,@ugkpimpc_4ever,No Name,Apr 10,Oh indeed #BostonStrong  https://twitter.com/ta__mka/status/1513327105622384645…,['https://pbs.twimg.com/profile_images/1634733363570397186/wacaYorV_normal.jpg'],['No Video']
12,No twitter handle,No Name,No Date,No Tweet Contents,['No Images'],['No Video']
13,@chrissiemac2424,No Name,Apr 10,BEST weekend ever in Boston!!!!!!!!!!! #BostonStrong,['https://pbs.twimg.com/profile_images/1312105120881094662/KoEcV4aG_normal.jpg'],['No Video']
14,@Definitely_Cuff,Storytime Stiz,Apr 10,Did I tell you when I was getting kicked out of Frankies with Doddsy? #BostonStrong,['https://pbs.twimg.com/profile_images/968437752684359680/1W1Cx2Ty_normal.jpg'],['No Video']
15,@boatzilla,Tom Boatman,Apr 10,"So the Boston Marathon is banning runners from Russia and Belarus. Not soldiers or politicians or tycoons. Just random people who want to run a marathon. Apparently 60+ runners are being kicked out. 

That's some serious xenophobic bullshit.

#BostonStrong my ass",['https://pbs.twimg.com/profile_images/83826403/Photo_16_normal.jpg'],['No Video']
16,@PeskyReport,The Pesky Report,Apr 10,"So we made our predictions over the week. Let us know who you agree/disagree with and give your predictions
#DirtyWater//#RedSox//#Boston//#BostonStrong","['https://pbs.twimg.com/profile_images/1716250218235084800/gxpODnFL_normal.jpg', 'https://pbs.twimg.com/media/FP_OkNHWYAA3Oue.jpg']",['No Video']
17,@Mom2HornsnHalos,No Name,Apr 10,"I  a good dog story!
#GoSpencer
#BostonStrong
#BostonMarathon
https://wcvb.com/article/therapy-dog-spencer-boston-marathon-dog-returning-to-route-cancer-treatment-2022/39664981…",['https://pbs.twimg.com/profile_images/1570894926862336000/cu8iL8CV_normal.jpg'],['No Video']
18,@seacoastrunner,Alison Black,Apr 9,Finally all caught up on #TournamentOfChampions on @FoodNetwork. BEYOND EXCITED that @KAkunowicz and @tiffanifaison are STILL IN IT!! #quarterfinals #BostonStrong #culinaryexcellence #yes,['https://pbs.twimg.com/profile_images/1507474874075435009/meeqXWGM_normal.jpg'],['No Video']
19,@ampere_official,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1430388735066066956/z2vq56ys_normal.jpg', 'https://pbs.twimg.com/media/F_uI5mqbsAAdQQE.jpg']",['No Video']
