,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@ChrisG5334,No Name,May 18,"Hey @MLB , how about you take action against the Braves-Blue Jays? I mean, it IS dangerous to throw at other players, right? #BostonStrong",['https://pbs.twimg.com/profile_images/1676791401856499714/-_gRv5gS_normal.jpg'],['No Video']
1,@livvvhehe,No Name,May 18,Whoever you are Boston is better #BostonStrong,['https://pbs.twimg.com/profile_images/1667055025166729217/BNfd0yUM_normal.jpg'],['No Video']
2,@HeroWarsWeb,Hero Wars,No Date,No Tweet Contents,['https://pbs.twimg.com/profile_images/1669708622316576772/nOnoAJqk_normal.jpg'],['https://pbs.twimg.com/amplify_video_thumb/1727975505511464960/img/-X6WHpAQnqLCwPks.jpg']
3,@TheBruinsFans,Boston Bruins Fans,May 18,"Charlie McAvoy, Team USA eliminated from 2017 World Championships http://network.yardbarker.com/nhl/article_external/charlie_mcavoy_team_usa_eliminated_from_2017_world_championships/s1_13876_23981914… #BostonStrong",['https://pbs.twimg.com/profile_images/618230981363933184/-ryOBhbz_normal.png.jpg'],['No Video']
4,@LaureneSchultz1,Laurene Schultz,May 18,Oh Yea!!!! #BostonStrong! http://fb.me/8M2QdZQzf,['https://pbs.twimg.com/profile_images/660638366589804544/p-jPd1ou_normal.jpg'],['No Video']
5,@RamiroRoman,Ramiro Roman,May 18,Inspiring story of every day heroes #BostonStrong @  #CentricityLive https://lnkd.in/enAHN6g,['https://pbs.twimg.com/profile_images/1327282490382426113/0hRxF9Wl_normal.jpg'],['No Video']
6,@bovie2k,Derrick Bovenkamp,May 18,#BostonStrong Emergency Medicine #centricitylive,"['https://pbs.twimg.com/profile_images/593039861331857408/c1sq3P7p_normal.jpg', 'https://pbs.twimg.com/media/DAIx7yxVoAAbTEX.jpg']",['No Video']
7,@flexpromeals,FlexPro Meals,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1656725892574347276/Wa3bGjCu_normal.jpg', 'https://pbs.twimg.com/media/F-GVkVOWAAEpg5-.jpg']",['No Video']
8,@quatrishealthco,Quatris Healthco,May 18,"Kicking off today's closing, panel of doctors, first responders and victims of the Boston Marathon bombing.  #centricitylive #BostonStrong","['https://pbs.twimg.com/profile_images/1407332191835721743/309REm9L_normal.jpg', 'https://pbs.twimg.com/media/DAIxed1VwAA605l.jpg']",['No Video']
9,@dpesummit,DPE Summit,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1678504823061385216/xU5BJwKE_normal.jpg', 'https://pbs.twimg.com/media/F_lPt9yaAAAiztb.jpg']",['No Video']
10,@Dan_esp_,No Name,May 18,is it crazy that i remember watching this game 10 years ago.. i think so #BostonStrong,['https://pbs.twimg.com/profile_images/1258641701175988224/h_Rhmd14_normal.jpg'],['No Video']
11,@Mrs_DaVinci,Rachel Leonardo,May 18,@KarsonKennedy thanks for the free ice cream! needed that on this hot day! #bostonstrong,['https://pbs.twimg.com/profile_images/744886206878654464/HowJHpFA_normal.jpg'],['No Video']
12,@JandrewD17,No Name,May 18,LOL seems like @Mac_BZ plays baseball  pretty good as well #Patriots #RedSox #BostonStrong @RedSox @Patriots,['https://pbs.twimg.com/profile_images/1655909206405332993/pyYisB5w_normal.jpg'],['No Video']
13,@samigosman,Sami Gosman,May 18,Finally got my hands on #BostonStrong written by the talented and hard working @DaveWedge. Great movie and an even better book.,"['https://pbs.twimg.com/profile_images/1715873656797044736/kq3eHrrh_normal.jpg', 'https://pbs.twimg.com/media/DAHxbj_XsAAMv_v.jpg']",['No Video']
14,@AthIllustrated,No Name,May 18,"If you haven't seen Boston, the movie, do: http://athleticsillustrated.com/editorial/movie-review-boston/… @Bostonthefilm #BostonStrong #BostonMarathon",['https://pbs.twimg.com/profile_images/674476791516430337/HO2AMTGI_normal.jpg'],['No Video']
15,@Shipwreck6669,Paul Rossi,May 18,Feel free to post it....#BostonStrong ,['https://pbs.twimg.com/profile_images/1692300829074575360/IyAxBNjt_normal.jpg'],['No Video']
16,@JoatmonCreatns,No Name,May 18,Unique gift for Bostonians or #BostonMarathon runners #BostonStrong #boston @Etsy shop http://etsy.me/1RWgkjd,['https://pbs.twimg.com/profile_images/1705752651843928064/O2YtZ4wa_normal.jpg'],['No Video']
17,@FPCRE_Boston,Freudenheim Partners,May 18,Things to watch for today: #Boston2030 almost-final plan to be released today http://htl.li/TuiG30bPJLf #BostonStrong #infrastructure,['https://pbs.twimg.com/profile_images/986997844753006592/44hd4Zqu_normal.jpg'],['No Video']
18,@CodyHarter,Cody Harter,May 18,The split squat is a great exercise for runners.  #boston #bostonlife #runboston #bostonstrong #runstrong #fitfam … http://ift.tt/2pOAS5b,"['https://pbs.twimg.com/profile_images/1220396215881338880/bZWDOIx8_normal.jpg', 'https://pbs.twimg.com/media/DAG-JOXWAAAUpje.jpg']",['No Video']
19,@CoachCoryBailey,Cory Bailey,May 18,Please welcome my man @CoachNickJones to the motherland!! #BostonStrong @celtics @NHLBruins @Patriots @RedSox,['https://pbs.twimg.com/profile_images/3663146981/67f94ebbffc00cb37312516626e76f20_normal.jpeg'],['No Video']
20,@shoptemu,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1564497322855534592/6vUA-39x_normal.jpg', 'https://pbs.twimg.com/media/GAL1Y5sXMAArY7G.jpg', 'https://pbs.twimg.com/media/GAL1ZTBXAAEUZ_K.jpg']",['No Video']
