,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@Ed_Domansky,Ed Domansky,Apr 17,Feel the energy. Feel the excitement. #bostonmarathon #runbold #bostonstrong @ Marathon Finish Line https://instagram.com/p/BEUhgTbrrNe/,['https://pbs.twimg.com/profile_images/1259610385864409088/tvYMn7hs_normal.jpg'],['No Video']
1,@TaymunDeb,Deborah Taymun,Apr 17,To honor #BostonStrong today #IRan  then spent the day #NoMakeup #NoShower .#StayStrong #BostonOttawa.,['https://pbs.twimg.com/profile_images/678207867724374016/q41FRqLu_normal.jpg'],['No Video']
2,@Avyviocom,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1722285335458066432/-5xOpRWw_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1727839283774447616/img/7y-WVpkaf3hosytN.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1727839283774447616/img/7y-WVpkaf3hosytN.jpg']
3,@7HillsRunShop,Seven Hills Run Shop,Apr 17,At least 2 7s in the #BostonMarathon tomorrow!! Go @UrbanskiMatt and Kevin Douglas!! #team7hills #Boston2016 #BostonStrong,['https://pbs.twimg.com/profile_images/1411522296175489028/Z9QnjNwW_normal.jpg'],['No Video']
4,@mdoucetteprod,MDoucette Production,Apr 17,What a moment. We will always remember this #SportsIllustrated cover we produced  by Gregory Heisler #BostonStrong,"['https://pbs.twimg.com/profile_images/453280817800679424/RmBhA1Av_normal.jpeg', 'https://pbs.twimg.com/media/CgSGidIWEAAsdCE.jpg']",['No Video']
5,@ARunningChick,Neon Is My Color,Apr 17,Can you see me now? #neonismycolor #FlatMe #bostonmarathon #bostonstrong #runhappy… https://instagram.com/p/BEUhHw7u9lq/,['https://pbs.twimg.com/profile_images/463380058019618816/AqH8OuBn_normal.jpeg'],['No Video']
6,@ImANole99,No Name,Apr 17,Good luck to Bryan Lyons and all the other #BostonMarathon runners tomorrow! #BostonStrong #PatriotsDay,"['https://pbs.twimg.com/profile_images/1726085894598221824/eA1tSSw-_normal.jpg', 'https://pbs.twimg.com/profile_images/1447564257650950147/zyjB7-Ug_mini.jpg', 'https://pbs.twimg.com/media/CgSFFl3UUAA1Er0.jpg']",['No Video']
7,@vyvivastore,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1722279019926712320/i0bRIXLp_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1728141972756475904/img/7pFJHomK0Zc7sDxQ.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1728141972756475904/img/7pFJHomK0Zc7sDxQ.jpg']
8,@Doc_JJK,Revealing Leftist Ideology,Apr 17,Salute!!!  #BostonMarathon #BostonStrong,"['https://pbs.twimg.com/profile_images/798907599068471296/ef7WgWz4_normal.jpg', 'https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_mini.jpg']",['No Video']
9,@laurahvogel,Laura Vogel,Apr 17,Thanks @MonicasBoston for another perfect carb-tastic meal. You've done our runners proud! #runBoston #BostonStrong,['https://pbs.twimg.com/profile_images/1150474504/LV_Profile5_normal.jpg'],['No Video']
10,@DrinkminoTOR,No Name,Apr 17,"#Repost @letsrumble77 with @repostapp
・・・
All packed and ready to Ruck!!!! #bostonstrong #31heroesambassador... http://fb.me/4EusNa2oP",['https://pbs.twimg.com/profile_images/462117891572117504/YtUGolfU_normal.jpeg'],['No Video']
11,@DrinkminoTOR,No Name,Apr 17,"#Repost @marrums with repostapp
・・・
All packed and ready to Ruck!!!! #bostonstrong… https://instagram.com/p/BEUfi5qAEtK/",['https://pbs.twimg.com/profile_images/462117891572117504/YtUGolfU_normal.jpeg'],['No Video']
12,@RojasMark2,Mark Rojas,Apr 17,Good luck to all #BostonMarathon runners tomorrow! I hope to join you one day. #BostonStrong,['https://pbs.twimg.com/profile_images/1589258885201657856/-BsAKGNw_normal.jpg'],['No Video']
13,@Econ_Bricabrac,Jill Pescatore,Apr 17,May all @bostonmarathon runners rest w visions of unicorns dancing in their heads & wake up #BostonStrong #boston2016 Go be awesome,['https://pbs.twimg.com/profile_images/1154913914163015680/iloZnCJP_normal.jpg'],['No Video']
