,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@minor_caleb,Caleb Minor,Oct 23,Am I the only one who got chills watching that?! Let's go Red Sox!!!! #BostonStrong,['https://pbs.twimg.com/profile_images/1582881076812414977/UzubDB8N_normal.jpg'],['No Video']
1,@matt_wulff,Matt Wulff,Oct 23,I've said it before but I'll say it again..I hate the St. Louis Cardinals so it's all about #BostonStrong and Beards in this World Series,['https://pbs.twimg.com/profile_images/1418680488290623489/RS9Beyvb_normal.jpg'],['No Video']
2,@ayca1941,BlueSky Boutique,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1720450751930257409/SjSxeP8r_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1724987883893948416/img/3Fb8E2JnpqjLVIJl.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1724987883893948416/img/3Fb8E2JnpqjLVIJl.jpg']
3,@J_spade529,No Name,Oct 23,Game 1 of the Word Series. @Cardinals @RedSox let's go Boston! #BostonStrong #WorldSeries,['https://pbs.twimg.com/profile_images/1725374084081393664/uMe5I8Nk_normal.jpg'],['No Video']
4,@CANiPETTITTE,Can I Pettitte,Oct 23,"Before the World Series officially starts, let me just say... #BostonStrong ",['https://pbs.twimg.com/profile_images/700380025837723648/chSD0h6v_normal.jpg'],['No Video']
5,@yung_Josi_PR,No Name,Oct 23,So pumped for the World Series!!! Let's go Boston!!! #BostonStrong ,['https://pbs.twimg.com/profile_images/1133156228526465025/Rtn0SH_2_normal.jpg'],['No Video']
6,@AHop95,Austin Hopper,Oct 23,“@BS32_Era: Come on Red Sox. Gotta get it this year. #BostonStrong #FearTheBeard”,['https://pbs.twimg.com/profile_images/1199517099154190343/ydJC-iVf_normal.jpg'],['No Video']
7,@DITOGAMESch,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1606272174599421952/-bf3eG_a_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1601517170500018176/img/KYar86PoCfM2w8vk.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1601517170500018176/img/KYar86PoCfM2w8vk.jpg']
8,@WillBotterman77,Yo Bott,Oct 23,Lets frickin gooooooooooooooooo. World Series game 1. #bosox #BostonStrong #merica #FearTheBeard,['https://pbs.twimg.com/profile_images/1909291171/100408-122612_normal.jpg'],['No Video']
9,@Almosays,No Name,Oct 23,"Game 1 of the ship 
#BostonStrong",['https://pbs.twimg.com/profile_images/510485034029957120/msea-Agl_normal.jpeg'],['No Video']
10,@THE_PFFM,Fire Fighters of MA,Oct 23,LET'S GO @RedSox #BOSTONSTRONG http://youtu.be/J0YL_KMRorU?a #WorldSeries2013,['https://pbs.twimg.com/profile_images/1501589336306847749/6YViGwl8_normal.jpg'],['No Video']
11,@bdasilva119,brian dasilva,Oct 23,Tough celtics most likely going to have bad season owell we have 3 other teams that are contenders haha #BostonStrong @ProblemsMa,['https://pbs.twimg.com/profile_images/614035078109376512/JDmSZ3tb_normal.jpg'],['No Video']
12,@ridgewallet,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1710389332434169856/QlZtboh9_normal.jpg', 'https://pbs.twimg.com/media/F_mjct6bsAAXgog.jpg']",['No Video']
13,@CTannkk,No Name,Oct 23,Fighter jets over Boston for the game shaking my dorm room up #letsgo #BostonStrong,['https://pbs.twimg.com/profile_images/631266993522540544/9-9M1qd9_normal.jpg'],['No Video']
14,@jeffgelinas11,jeff gelinas,Oct 23,Fenway giving me chills #bostonstrong,"['https://pbs.twimg.com/profile_images/1494108243890692098/BvMEWsJg_normal.jpg', 'https://pbs.twimg.com/media/BXTNY1_IYAAji0Z.jpg']",['No Video']
15,@bdasilva119,brian dasilva,Oct 23,Tough celtics most likely going to have bad season owell we have 3 other teams that are contenders haha #BostonStrong @ProblemsMa,['https://pbs.twimg.com/profile_images/614035078109376512/JDmSZ3tb_normal.jpg'],['No Video']
16,@ridgewallet,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1710389332434169856/QlZtboh9_normal.jpg', 'https://pbs.twimg.com/media/F_mjct6bsAAXgog.jpg']",['No Video']
17,@CTannkk,No Name,Oct 23,Fighter jets over Boston for the game shaking my dorm room up #letsgo #BostonStrong,['https://pbs.twimg.com/profile_images/631266993522540544/9-9M1qd9_normal.jpg'],['No Video']
18,@jeffgelinas11,jeff gelinas,Oct 23,Fenway giving me chills #bostonstrong,"['https://pbs.twimg.com/profile_images/1494108243890692098/BvMEWsJg_normal.jpg', 'https://pbs.twimg.com/media/BXTNY1_IYAAji0Z.jpg']",['No Video']
19,@bish_tastic,Richard Bishop,Oct 23,LETS GO SOX!!!!! #RedSoxNation #BostonStrong #WorldSeries,['https://pbs.twimg.com/profile_images/474794136680554497/uEyw-jXs_normal.jpeg'],['No Video']
20,@MChampion21,Monica Champion,Oct 23,She gave me chills from singing that!!  #merica #BostonStrong #RedSoxNation,['https://pbs.twimg.com/profile_images/716824115676651520/wGFsiC1a_normal.jpg'],['No Video']
21,@mfaesq860,Mike A,Oct 23,Great anthem. Let's Go Sox! #BostonStrong,['https://pbs.twimg.com/profile_images/1299347886455451654/Z5kSmjZ7_normal.jpg'],['No Video']
22,@Jayjenks83,No Name,Oct 23,Sang Mary J #WorldSeries #Bostonstrong #gosox!!,['https://pbs.twimg.com/profile_images/1346600296093507587/8BH4JRgt_normal.jpg'],['No Video']
23,@CoachIveyUT,Jessie Ivey,Oct 23,Love that the Red Sox have this hanging in their dugout... #1stClass #BostonStrong ,"['https://pbs.twimg.com/profile_images/1662165040575942656/rJSvOVoS_normal.jpg', 'https://pbs.twimg.com/media/BXTNYELCIAAynM5.jpg']",['No Video']
24,@MottandBow,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/897810295300739073/dc99V7YT_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1732379466326818816/img/yp_1BAj09011vDIX.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1732379466326818816/img/yp_1BAj09011vDIX.jpg']
25,@chase_hermes,Chase Hermes,Oct 23,Red Soxs Nation #BostonStrong,['https://pbs.twimg.com/profile_images/1483834302173528071/ukH63hEx_normal.jpg'],['No Video']
26,@svollrath39,Sean Vollrath,Oct 23,"There's strong, and there's #BostonStrong. Let's go @RedSox!!!",['https://pbs.twimg.com/profile_images/444270206295105536/ZV-b5FUZ_normal.jpeg'],['No Video']
27,@jeremy_engbers,jeremy engbers,Oct 23,Born a few minutes away from Fenway. Gotta go #BostonStrong,['https://pbs.twimg.com/profile_images/1691310837800353792/EYgvfHRH_normal.jpg'],['No Video']
28,@patricia_rene,Patricia Martin,Oct 23,Thank god the planes flew over #aweful #BostonStrong,['https://pbs.twimg.com/profile_images/1016065434917986304/tEh58Ja-_normal.jpg'],['No Video']
