,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@PabloShep,Paul Sheppard,Apr 14,"Checked into a hotel today for my sons #AAU basketball in Waltham, MA. Lots of #marathon runners checking in. God bless and good luck! #bostonstrong #BostonMarathon",['https://pbs.twimg.com/profile_images/1200227086092439558/DSyCwQLc_normal.jpg'],['No Video']
1,@smagoon,Scott Magoon,Apr 14,Hey @markwahlberg Thanks  !#BostonStrong,"['https://pbs.twimg.com/profile_images/771095612326567944/1bahgP5z_normal.jpg', 'https://pbs.twimg.com/profile_images/2392685472/fqit5nak57iullg92dyj_mini.jpeg', 'https://pbs.twimg.com/ext_tw_video_thumb/985235609588387840/pu/img/xjgoazuB73WJSF3I.jpg']",['https://pbs.twimg.com/ext_tw_video_thumb/985235609588387840/pu/img/xjgoazuB73WJSF3I.jpg']
2,@newporthealth_,Newport Healthcare,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1599919571326025728/O1yy1Ltv_normal.png.jpg', 'https://pbs.twimg.com/media/F9z0C6Ob0AAHW1L.jpg', 'https://pbs.twimg.com/media/F9z0EIGbEAAW_zP.jpg', 'https://pbs.twimg.com/media/F9z0FaPagAABOUj.jpg', 'https://pbs.twimg.com/media/F9z0GhmaEAEdUX6.jpg', 'https://pbs.twimg.com/media/F9z0Hv5bkAAeNh5.jpg']",['No Video']
3,@JMRamos1701D,John Ramos,Apr 14,Boston Victory! #RedSoxWin! #DirtyWater #BostonStrong (Sweet Caroline),"['https://pbs.twimg.com/profile_images/1195360829413056517/8wWHA-3G_normal.png.jpg', 'https://pbs.twimg.com/profile_images/1715340699170660352/sU3NozxP_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/DaxOxYoWkAAs6O5.jpg']",['https://pbs.twimg.com/tweet_video_thumb/DaxOxYoWkAAs6O5.jpg']
4,@projectbread,Project Bread,Apr 14,Stay tuned for a #BostonStrong surprise TOMORROW for #OneBostonDay! #BostonPride #BostonMarathon #BostonMarathon2018 @marty_walsh @CityOfBoston @bostonmarathon,"['https://pbs.twimg.com/profile_images/1701628768228364288/jZy2Q61K_normal.jpg', 'https://pbs.twimg.com/media/Dax7O_JW0AAA5xQ.jpg']",['No Video']
5,@DavidMBresnahan,Dave BresnahanLDS Missionary,Apr 14,"Yup five years, but seems like yesterday. #BostonStrong",['https://pbs.twimg.com/profile_images/1091770785721659392/14sqIvV2_normal.jpg'],['No Video']
6,@BikeBusBoston,No Name,Apr 14,"Tip for Running the Boston Marathon in the Rain - From the Pros:
https://runnersworld.com/training/a19818765/tips-for-running-boston-marathon-in-the-rain/…
#bostonmarathon2018 #Boston2018 #BostonStrong #marathon #running #Tips #bikebus #bikebusresearch #research #information #Facts #GoodLuckeveryone #feelthelove #feeltheenergy","['https://pbs.twimg.com/profile_images/1224411636112543746/NzS_VGMB_normal.png.jpg', 'https://pbs.twimg.com/media/Daxz-iOUMAA9EVC.jpg']",['No Video']
7,@HeroWarsWeb,Hero Wars,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1669708622316576772/nOnoAJqk_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1727974182669975552/img/074GnOCMF9SzAbG6.jpg']",['https://pbs.twimg.com/amplify_video_thumb/1727974182669975552/img/074GnOCMF9SzAbG6.jpg']
8,@southstreetdine,No Name,Apr 14,Boston marathon carbo load @southstreetdine 24/7 traditions #BostonMarathon #Boston2018 #BostonMarathon2018 #BostonStrong,"['https://pbs.twimg.com/profile_images/1244644897346519044/Hypc89cr_normal.jpg', 'https://pbs.twimg.com/media/DaxprPkVMAEnne0.jpg']",['No Video']
9,@StrongDucks,Boston Strong Ducks,Apr 14,Watch  @AdrianneHaslet Dance across the Finish line! She is running #BostonMarathon! YOU GO GIRL! Still #BostonStrong,"['https://pbs.twimg.com/profile_images/1093408433087361025/l56Bpni1_normal.jpg', 'https://pbs.twimg.com/media/DaxoB4dU8AEvOHj.jpg', 'https://pbs.twimg.com/media/DaxoN1eVwAAx-QU.jpg']",['No Video']
