,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@BC_Irish_Inst,IrishInstitute at BC,May 7,"Great to hear @JohnKingCNN, @mayortommenino, @eddavis32, and @MassGovernor talk about all things #BostonStrong",['https://pbs.twimg.com/profile_images/378800000794767263/13e66ee36b78538513a8fbd5c65081e1_x96.jpeg'],['No Video']
1,@vallgaaall1229,Valerie Underwood,May 7,Happy Mothers Day shhhhhh!!! #Stronger #BostonStrong special thank you to #JeffBauman  http://instagram.com/p/ntuT4giUWR/,['https://pbs.twimg.com/profile_images/453242588003586048/gpevOk3A_x96.jpeg'],['No Video']
2,@USAFootball,USA Football,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1713876442306547712/dVxKNpuI_x96.jpg', 'https://pbs.twimg.com/media/F92siH3XkAAC1Xf.jpg']",['No Video']
3,@blackbear93,Craig Burley for Ballon d,May 7,Did the @CBCNews mention this lovely image making the rounds on twitter last night? #BostonStrong,"['https://pbs.twimg.com/profile_images/1517563626844049408/X9rDEf57_x96.jpg', 'https://pbs.twimg.com/media/BnEfmhsCMAESiko.jpg']",['No Video']
4,@_24mob,No Name,May 7,That Sox double play! @SportsCenter #bostonstrong,['https://pbs.twimg.com/profile_images/1731802407951118336/LNh6Wt6V_x96.jpg'],['No Video']
5,@FisherOrgAIL,Globe Life American Income DivFisher Org,May 7,At an amazing fundraiser for fallen firefighters Ed Walsh & Mike Kelly of @THE_PFFM #BostonStrong,['https://pbs.twimg.com/profile_images/1715091639893467136/7W1hfwIU_x96.jpg'],['No Video']
6,@harvardh__,No Name,May 7,New video by djchuze shot by @djharvardh check it out link is in bio..  #bostonstrong http://instagram.com/p/ntss2qRjtw/,['https://pbs.twimg.com/profile_images/872518809076236289/TAHHLKsS_x96.jpg'],['No Video']
7,@ScyllaDB,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1496169760374988802/4-c2rqK5_x96.png.jpg', 'https://pbs.twimg.com/ad_img/1363531675292946434/QpRhHhvb.jpg']",['No Video']
8,@ejohnsondesigns,Erin Johnson Design,May 7,Photo: I’m watching Boston Red Sox “#RedsVsBoSox #BostonStrong ! #LGRS !” Check-in to Boston Red Sox on... http://tmblr.co/Z-j4bx1FELGse,['https://pbs.twimg.com/profile_images/1405444904/Logo_x96.jpg'],['No Video']
9,@BrandGenieMagic,Brand Genie,May 7,We're taking the Brand Genie out of the bottle in Boston. #bostonstrong #brandmagic http://ow.ly/i/5uF8s,['https://pbs.twimg.com/profile_images/827680176402112513/5p8eq1A0_x96.jpg'],['No Video']
10,@christinapolo,Christina Longo,May 7,Game time!!! #GoSox #BostonStrong,"['https://pbs.twimg.com/profile_images/594360490672914432/5kUXe0vC_x96.jpg', 'https://pbs.twimg.com/media/BnEZDqbCQAA4M9R.jpg']",['No Video']
11,@RTED2016,No Name,May 7,Boston Strong Silicone Wristband with White Print #BOSTONSTRONG #BOSTONMARATHON   via @amazon http://ow.ly/wBbhX,['https://pbs.twimg.com/profile_images/378800000159006391/05a5995325ddf136457e3b0b5303f8f1_x96.png.jpg'],['No Video']
12,@iamtroydurden,Troy Durden,May 7,@waltermccarty waddup bro thanks for the follow #bostonStrong,['https://pbs.twimg.com/profile_images/1267168228423413761/0l5FIOC6_x96.jpg'],['No Video']
13,@Grabbaticket,No Name,May 7,"#RedSox #tickets available on http://grabbaticket.com Use #promo code ""tweet"" to save! #boston #mlb #RedSoxNation #SoxNation #BostonStrong",['https://pbs.twimg.com/profile_images/518799214151602176/a2GHplZ0_x96.jpeg'],['No Video']
14,@schalke_usa,Schalke USA,May 7,Boston Red Sox v Cincinnati Reds game 2 of 2 tonight! Can't wait! May the best club in red win! #MLB #BaseballIsLife #BostonStrong #Reds,['https://pbs.twimg.com/profile_images/911691308913143808/w4eUSxRI_x96.jpg'],['No Video']
15,@kcbw422,KC Butt Wittekind,May 7,View from our seats :) #myfenway #FenwayPark #Fenway #RedSox #BostonRedSox #Boston #BostonStrong… http://instagram.com/p/ntl39VnE8G/,['https://pbs.twimg.com/profile_images/571721388952522752/o5_W_tEr_x96.jpeg'],['No Video']
16,@4Coppinger,Ed Coppinger,May 7,Of course not @lilsarg! Love when I see your tweets! That #bostonstrong guy (forgetting his name) is the actual worst!   @WesleyLowery,['https://pbs.twimg.com/profile_images/1006035938894602241/6KO5bDTg_x96.jpg'],['No Video']
17,@bekajcampbell,No Name,May 7,#BostonStrong bumper sticker on a Maryland car  love it ,['https://pbs.twimg.com/profile_images/1730786798228434944/CkMx3glQ_x96.jpg'],['No Video']
18,@feeltheinferno,S GETTINSPICY IN HERE,May 7,"Marketing Day: #BostonStrong: As Boston Returns To Its Marathon, Brands Keep It Respectful
We think you shoul http://mklnd.com/1nlBc2L",['https://pbs.twimg.com/profile_images/1320449852279386112/xe8OOiHk_x96.jpg'],['No Video']
19,@4Coppinger,Ed Coppinger,May 7,"Finally something Wes writes that I agree with!  RT @WesleyLowery: I agree, @lilsarg is the worst #bostonstrong http://jimromenesko.com/2014/05/07/the-most-amazing-thing-about-this-t-shirt-hilary-and-sargent-are-spelled-correctly/…",['https://pbs.twimg.com/profile_images/1006035938894602241/6KO5bDTg_x96.jpg'],['No Video']
